Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
C/W LAMP TEST - 1 (hold)			2				Panel 2, C/W Switches 14 lights lit (left)	CautionWarningLightTestSwitch	2H	1			Explain hold with Shift-Key
  MASTER ALARM pb/lt - on			1						-1	1			
  lh C/W lt (14) - on			2						-1	1			
C/W LAMP TEST - 2 (hold)							Panel 2, C/W Switches 20 lights lit (right)	CautionWarningLightTestSwitch	0H	1			
  MASTER ALARM pb/lt - out			1						-1	1			
  lh C/W lt (14) - out			2						-1	1			
  MASTER ALARM pb/lt - on			3						-1	1			
  rh C/W lt (20) - on			2						-1	1			
C/W LAMP TEST - rel							Panel 2, C/W Switches 20 lights lit (right)	CautionWarningLightTestSwitch	1	1			
  MASTER ALARM pb/lt - out			3						-1	1			
  rh C/W lt (20) - out			2						-1	1			
C/W CSM - CM							Panel 2, C/W Switches	CautionWarningCMCSMSwitch	0	1			
  CM RCS lt (both) - on									-1	1			
  MASTER ALARM pb/lt (3) & tone - on			1,3,122						-1	1			
MASTER ALARM pb/lt - push							Panel 1,3,122 Master Alarm	MasterAlarmSwitch	1	1			
  MASTER ALARM pb/lt (3) & tone - out									-1	1			
C/W CSM - CSM			2				Panel 2, C/W Switches	CautionWarningCMCSMSwitch	1	1			
  CM RCS lt (both) - out									-1	1			
