Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Wait Until EI -25m (DET 35m)									-1	0			
TVC SERVO PWR 1 - AC1/MNA			7					TVCServoPower1Switch	2	1			
cb ELS BAT A - close								ELSBatACircuitBraker	1	1			
cb ELS BAT B - close								ELSBatBCircuitBraker	1	1			
PRIM GLY TO RAD - BYPASS (pull)								GlycolToRadiatorsLever	0	1			
REPRESS PKG vlv - FILL (10 seconds)			326					OxygenRepressPackageRotary	0	1			
REPRESS PKG vlv - on	10	HIDDEN_DELAY						OxygenRepressPackageRotary	2	1			
SM SUPPLY vlv - off								OxygenSMSupplyRotary	0	1			
CAB PRESS RELF vlv (LH) - NORM			325					CabinPressureReliefLever1	1	1			
CAB PRESS RELF vlv (RH) - NORM								CabinPressureReliefLever2	1	1			
GMBL MOT P1 - START								Pitch1Switch	2	1			
GMBL MOT Y1 - START								Yaw1Switch	2	1			
GMBL MOT P2 - START								Pitch2Switch	2	1			
GMBL MOT Y2 - START								Yaw2Switch	2	1			
PRPLNT DUMP - RCS CMD								PropDumpAutoSwitch	0	1			
SM RCS PRIM PRPLNT A - OPEN								SMRCSProp1ASwitch	2	1			
SM RCS PRIM PRPLNT B - OPEN								SMRCSProp1BSwitch	2	1			
SM RCS PRIM PRPLNT C - OPEN								SMRCSProp1CSwitch	2	1			
SM RCS PRIM PRPLNT D - OPEN								SMRCSProp1DSwitch	2	1			
SM RCS SEC PRPLNT A - OPEN								SMRCSProp2ASwitch	2	1			
SM RCS SEC PRPLNT B - OPEN								SMRCSProp2BSwitch	2	1			
SM RCS SEC PRPLNT C - OPEN								SMRCSProp2CSwitch	2	1			
SM RCS SEC PRPLNT D - OPEN								SMRCSProp2DSwitch	2	1			
SM RCS PRIM & SEC PRPLNT tb (8) - gray									-1	1			
VHF AM A - off (ctr)			3					VHFAMASwitch	1	1			
VHF AM B - off (ctr)								VHFAMBSwitch	1	1			
VHF ANT - RECY								VHFAntennaRotarySwitch	0	1			
HI GAIN ANT PWR - off								GHAPowerSwitch	0	1			
FUEL CELL PUMP 1 - off								FuelCellPumps1Switch	1	1			
FUEL CELL PUMP 2 - off								FuelCellPumps2Switch	1	1			
FUEL CELL PUMP 3 - off								FuelCellPumps3Switch	1	1			
FUEL CELL 2 MNA - off								MainBusASwitch2	0	1			
FUEL CELL 2 MNB - off								MainBusBSwitch2	0	1			
S-BD PWR AMP - LOW								SBandNormalPwrAmpl2Switch	0	1			
cb ECS RAD CONT/HTR MNA - open								CONTHTRSMnACircuitBraker	0	1			
cb ECS RAD CONT/HTR MNB - open								CONTHTRSMnBCircuitBraker	0	1			
cb WASTE H2O/URINE DUMP HTR MNA - open								ECSWasteH2OUrineDumpHTRMnACircuitBraker	0	1			
cb WASTE H2O/URINE DUMP HTR MNB - open								ECSWasteH2OUrineDumpHTRMnBCircuitBraker	0	1			
cb RAD HTRs OVLD BAT A - open								HTRSOVLDBatACircuitBraker	0	1			
cb RAD HTRs OVLD BAT B - open								HTRSOVLDBatBCircuitBraker	0	1			
POT H2O HTR - OFF								PotH2oHtrSwitch	1	1			
CAB FAN 1 - OFF								CabinFan1Switch	0	1			
CAB FAN 2 - OFF								CabinFan2Switch	0	1			
GLY EVAP IN TEMP - MAN								GlycolEvapTempInSwitch	0	1			
SEC COOL EVAP - RESET								SecCoolantLoopEvapSwitch	0	1			
SEC COOL PUMP - off (ctr)								SecCoolantLoopPumpSwitch	1	1			
													
SC CONT - SCS				"Maneuver to CM/SM SEP P, R ATT"				SCContSwitch	0	1			
CMC MODE - FREE								CMCModeSwitch	0	1			
Maneuver to PAD ATT (Pitch to HORIZ CHK ATT)									-1	0			
Wait Until EI -19m (DET 41m)									-1	0			
													
V37E 61E				Entry Preparation	Program 61			DSKY V 3 7 E 6 1 E	1	1			
"  F 06 61 (LAT, LONG, HDS UP/DN)"	20	HIDDEN_DELAY							-1	1			
PRO								DSKY P	1	1			
"  F 06 60 (G MAX, V PRED, GAMMA EI)"	10	HIDDEN_DELAY							-1	1			
Record values									-1	0			
PRO								DSKY P	1	1			
"  F 06 63 (RTGO, VIO, TFE)"	10	HIDDEN_DELAY							-1	1			
"Record values, compare with PAD for PGNCS go/no-go"									-1	0			
PRO								DSKY P	1	1			
"  F 50 25 (00041, BL, BL) REQUEST CM/SM SEP"	5	HIDDEN_DELAY			Program 62				-1	1			
CMC MODE - FREE								CMCModeSwitch	0	1			
Actual pitch ATT and PAD HOR CHK P is within 5 degrees					"At DET 43m, or PAD GET HOR CHK"				-1	0			
													
Yaw 45 degrees left (Y315) with RHC									-1	0			
RATE - HIGH								AttRateSwitch	1	1			
ATT DB - MIN								AttDeadbandSwitch	0	1			
MAN ATT ROLL - RATE CMD								ManualAttRollSwitch	1	1			
