Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Key V37E 00E			DSKY					DSKY V 3 7 E 0 0 E	1	1			
V25 N01E								DSKY V 2 5 N 0 1 E	1	1			
1365E	2	HIDDEN_DELAY						DSKY 1 3 6 5 E	1	1			
ENTER	2	HIDDEN_DELAY						DSKY E	1	1			
ENTER	2	HIDDEN_DELAY						DSKY E	1	1			
ENTER	2	HIDDEN_DELAY						DSKY E	1	1			
V15 N01E								DSKY V 1 5 N 0 1 E	1	1			
1365E								DSKY 1 3 6 5 E	1	1			
R1, R2, R3 All Zero									-1	1			
V21 N27E								DSKY V 2 1 N 2 7 E	1	1			
10E								DSKY 1 0 E	1	1			
R2>3 Within 78 sec	80	HIDDEN_DELAY							-1	1			
V21 N27E								DSKY V 2 1 N 2 7 E	1	1			
0E								DSKY 0 E	1	1			
V37E 00E	5	HIDDEN_DELAY						DSKY V 3 7 E 0 0 E	1	1			
