Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Station Keeping with LM									-1	0			
THC PWR - ON (up)								TransContrSwitch	1	1			
RHC PWR NORM 1 - AC/DC								RotPowerNormal1Switch	2	1			
RHC PWR NORM 2 - AC/DC								RotPowerNormal2Switch	2	1			
RHC PWR DIR 1 - MNA/MNB								RotPowerDirect1Switch	2	1			
RHC PWR DIR 2 - MNA/MNB								RotPowerDirect2Switch	2	1			
SC CONT - CMC								SCContSwitch	1	1			
CMC MODE - HOLD								CMCModeSwitch	1	1			
BMAG MODE ROLL - RATE 2								BMAGRollSwitch	2	1			
BMAG MODE PITCH - RATE 2								BMAGPitchSwitch	2	1			
BMAG MODE YAW - RATE 2								BMAGYawSwitch	2	1			
AUTO RCS A/C ROLL A1 - MNA			8		Auto RCS Activation		Panel 8	AcRollA1Switch	2	1			
AUTO RCS A/C ROLL C1 - MNB							Panel 8	AcRollC1Switch	0	1			
AUTO RCS A/C ROLL A2 - MNA							Panel 8	AcRollA2Switch	2	1			
AUTO RCS A/C ROLL C2 - MNB							Panel 8	AcRollC2Switch	0	1			
AUTO RCS B/D ROLL B1 - MNA							Panel 8	BdRollB1Switch	2	1			
AUTO RCS B/D ROLL D1 - MNB							Panel 8	BdRollD1Switch	0	1			
AUTO RCS B/D ROLL B2 - MNA							Panel 8	BdRollB2Switch	2	1			
AUTO RCS B/D ROLL D2 - MNB							Panel 8	BdRollD2Switch	0	1			
AUTO RCS PITCH A3 - MNB							Panel 8	PitchA3Switch	0	1			
AUTO RCS PITCH C3 - MNA							Panel 8	PitchC3Switch	2	1			
AUTO RCS PITCH A4 - MNA							Panel 8	PitchA4Switch	2	1			
AUTO RCS PITCH C4 - MNB							Panel 8	PitchC4Switch	0	1			
AUTO RCS YAW B3 - MNA							Panel 8	YawB3Switch	2	1			
AUTO RCS YAW D3 - MNB							Panel 8	YawD3Switch	0	1			
