Name	Time	Deadline	Relative Event	Heading	Automatic	Manual	Essential	Sound	Slow
Flightplan	15000	10	MISSION_TIME	Flightplan	1	1	0		0
Startup Checklist	0	10	BACKUP_CREW_PRELAUNCH	Launch Checklists	1	1	0		0
Backup Crew Prelaunch Checklist	0	10	BACKUP_CREW_PRELAUNCH		1	1	0		0
Prime Crew Prelaunch Checklist	0	10	PRIME_CREW_PRELAUNCH		1	1	0		0
Launch Checklist	-1200	10	MISSION_TIME		1	1	0		0
Insertion Checklist	0	10	EARTH_ORBIT_INSERTION	Insertion Checklist	1	1	0		0
TLI Checklist	6900	10	MISSION_TIME	TLI Checklist	1	1	0		0
CSM-LV-Separation	0	13995	TLI_DONE	SIVB Separation Checklists	1	1	0		0
LM Ejection	13500	10	MISSION_TIME	LM Ejection	1	1	0		0
Entry	672600	675000	MISSION_TIME	Entry/Landing Checklists	1	1	0		0
CM-SM-Separation	688800	689400	MISSION_TIME		1	1	0		0
Splashdown	0	10	SPLASHDOWN		1	1	0		0
G&N Power Up	0	10		G&C System Management	1	1	0		0
G&N Power Down	0	10			1	1	0		0
IMU Power Up	0	10			1	1	0		0
IMU Power Down	0	10			1	1	0		0
SCS Power Up	0	10			1	1	0		0
SCS Power Down	0	10			1	1	0		0
OSS Power Up	0	10			1	1	0		0
OSS Power Down	0	10			1	1	0		0
CMC Standby	0	10			1	1	0		0
CMC Power Up	0	10			1	1	0		0
CMC Self Check	0	10			1	1	0		0
DSKY Condition Lights Test	0	10			1	1	0		0
									
State Vector Update	0	10		G&C General Procedures	1	1	0		0
P27 Update	0	10			1	1	0		0
CMC Clock Update	0	10			1	1	0		0
GDC Alignment to IMU	0	10			1	1	0		0
SCS Attitude Ref Comp Check	0	10			1	1	0		0
ORDEAL Initialization	0	10			1	1	0		0
EMS DV Test	0	10			1	1	0		0
Start SCS PTC	0	10			1	1	0		0
Terminate SCS PTC	0	10			1	1	0		0
Start G&N PTC (DB 30)	0	10			1	1	0		0
Start G&N PTC (DB 20)	0	10			1	1	0		0
Terminate G&N PTC	0	10			1	1	0		0
DAP Deadband Change (DB 10)	0	10			1	1	0		0
LGC Clock Sync & TEPHEM Update	0	10			1	1	0		0
DAP Orbital Rate	0	10			1	1	0		0
P76 Target dV	0	10			1	1	0		0
									
									
C&WS Operational Check	0	10		Systems Management	1	1	0		0
SM RCS Monitoring Check	0	10			1	1	0		0
CM RCS Monitoring Check	0	10			1	1	0		0
EPS Monitoring Check	0	10			1	1	0		0
ECS Monitoring Check	0	10			1	1	0		0
SPS Monitoring Check	0	10			1	1	0		0
ECS Redundant Component Check	0	10			1	1	0		0
Cycle Cryo Fans	0	10			1	1	0		0
Fuel Cell O2 Purging	0	10			1	1	0		0
Fuel Cell H2 Purging	0	10			1	1	0		0
Waste Water Dump	0	10			1	1	0		0
Battery Charge A	0	10			1	1	0		0
Battery Charge B	0	10			1	1	0		0
Battery Charge C	0	10			1	1	0		0
Terminate Battery Charge	0	10			1	1	0		0
