Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
SM RCS PRPLNT A - OPEN	-1200	MISSION_TIME		Boost Preparation			"Panel 2, SM RCS Switches"	SMRCSProp1ASwitch	2	1			
SM RCS PRPLNT B - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp1BSwitch	2	1			
SM RCS PRPLNT C - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp1CSwitch	2	1			
SM RCS PRPLNT D - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp1DSwitch	2	1			
SM RCS PRIM PRPLNT tb (4) - gray									-1	1			
SM RCS SEC PRPLNT tb (4) - gray									-1	1			
													
(change not necessary)	-900	MISSION_TIME	1		Change Launch Azimuth (if necessary)				-1	1			
FDAI 1 - total att			1						-1	1			
"  R 90+AZ deg, P 90 deg, Y 0 deg"									-1	1			
BMAG MODE ROLL - RATE 1							Panel 1	BMAGRollSwitch	0	1			
BMAG MODE PITCH - RATE 1							Panel 1	BMAGPitchSwitch	0	1			
BMAG MODE YAW - RATE 1							Panel 1	BMAGYawSwitch	0	1			
FDAI SCALE - 5/5							Panel 1	FDAIScaleSwitch	1	1			
RATE - HI							Panel 1	AttRateSwitch	1	1			
RHC PWR DIR 1 - MNA/MNB							Panel 1	RotPowerDirect1Switch	2	1			
RHC PWR DIR 2 - MNA/MNB							Panel 1	RotPowerDirect2Switch	2	1			
CMC MODE - FREE							Panel 1	CMCModeSwitch	0	1			
THC PWR - on (up)							Panel 1	TransContrSwitch	1	1			
S BD - OFF			6				Panel 6	RightSBandSwitch	1	1			
VHF AM - OFF			9				Panel 9	LeftVHFAMSwitch	1	1			
(voice check not simulated yet)									-1	1			
S BD - T/R			6				Panel 6	RightSBandSwitch	2	1			
VHF AM - T/R			9				Panel 9	LeftVHFAMSwitch	2	1			
SPS THRUST - NORM			1				Panel 1	SPSswitch	0	1			
dV THRUST A - OFF							Panel 1	dVThrust1Switch	0G	1			
dV THRUST B - OFF							Panel 1	dVThrust2Switch	0G	1			
a/Pc IND sw - a							Panel 1	LVSPSPcIndicatorSwitch	1	1			
EDS AUTO - on (up)			2				"Panel 2, EDS Switches"	EDSSwitch	1	1			
LV RATES sw - AUTO							Panel 2	LVRateAutoSwitch	1	1			
2 ENG OUT sw - AUTO							Panel 2	TwoEngineOutAutoSwitch	1	1			
CM RCS PRPLNT tb (both) - gray									-1	1			
RCS CMD - OFF								RCSCMDSwitch	0	1			
													
FC REACS VALVES - LATCH	-600	MISSION_TIME	3				"Panel 3, Fuel Cell Switches"	FCReacsValvesSwitch	0	1			
													
SEC COOL PUMP - OFF	-510	MISSION_TIME	2				Panel 2	SecCoolantLoopPumpSwitch	1	1			
													
TVC SERVO PWR 1 - AC1/MNA	-360	MISSION_TIME	7					TVCServoPower1Switch	2	1			
TVC SERVO PWR 2 - AC2/MNB								TVCServoPower2Switch	0	1			
													
(voice check not simulated yet)	-240	MISSION_TIME		Astro Launch Operations Comm Check					-1	1			
PAD COM - OFF			9				Panel 9	LeftPadCommSwitch	1	1			
PAD COM - OFF			6				Panel 6	RightPadCommSwitch	1	1			
													
Verify P02	-180	MISSION_TIME							-1	1			
Key V75 (No Enter)			DSKY					DSKY V 7 5	1	1			
