Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Copy MCC-3 Maneuver PAD, Target Load, State Vector Update				MCC Update					-1	0			
Uplink									-1	1	P27 Update		
V66E							Set CSM state vector into LM state vector	DSKY V 6 6 E	1	1			
Terminate Battery Charge									-1	1	Terminate Battery Charge		
P30 External DV									-1	1	P30 External DV		
Terminate PTC	189900	MISSION_TIME							-1	1	Terminate G&N PTC		
Perform P52 IMU Realign (REFSMMAT)									-1	1	P52 IMU Realign (REFSMMAT)		
Perform GDC Alignment to IMU									-1	1	GDC Alignment to IMU		
P40/41 Thrusting (click PRO for P40 -- click FAIL for P41)									-1	0	P40 SPS Thrusting	P41 RCS Thrusting	
V66E	30	HIDDEN_DELAY					Set CSM state vector into LM state vector	DSKY V 6 6 E	1	1			
Initiate Battery Charge (Battery A)									-1	1	Battery Charge A		
