Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
OPT ZERO - ZERO			122		Zero optics		Optionally use V16 N91E to monitor the current shaft (.01 deg) and trunnion (.001 deg) angle in R1 and R2.	OpticsZeroSwitch	1	1			
OPT ZERO - OFF (15 sec)	20	HIDDEN_DELAY						OpticsZeroSwitch	0	1			
OPT MODE - MAN								OpticsModeSwitch	0	1			
OPT SPEED - HIGH			122					ControllerSpeedSwitch	2	1			
Key V37E 22E			DSKY		Start program 22			DSKY V 3 7 E 2 2 E	1	1			
"F 06 45 (BLANK, BLANK, MAX MGA)"									-1	1			
PRO								DSKY P	1	1			
F 05 70 (LANDMARK CODE)					Load codes				-1	1			
V22E								DSKY V 2 2 E	1	1			
20000E					Unknown landmark			DSKY 2 0 0 0 0 E	1	1			
PRO								DSKY P	1	1			
F 51 88 (PLEASE MARK)									-1	1			
Place optics at 10 degree trunnion angle									-1	0			
Monitor for landmark. When Identified start 0.3 deg/sec pitch down									-1	0			
Make five marks spaced 25 seconds apart								OpticsMarkButton	-1	0			
OPT ZERO - ZERO								OpticsZeroSwitch	1	1			
Stop pitch rate									-1	0			
MAN ATT PITCH - ACCEL CMD								ManualAttPitchSwitch	2	1			
"Pitch up to ORDEAL R=0, P=5, Y=0"									-1	0			
MAN ATT PITCH - MIN IMP								ManualAttPitchSwitch	0	1			
Initiate orbital pitch rate for next landmark									-1	0			
PRO								DSKY P	1	1			
F 05 71 (LANDMARK DATA)	10	HIDDEN_DELAY			Verify codes				-1	1			
PRO								DSKY P	1	1			
"F 06 49 (DELTA R, DELTA V, BLANK)"									-1	0			
PRO								DSKY P	1	1			
"F 06 89 (LAT, LONG/2, ALT)"									-1	0			
Key V37E 00E			DSKY					DSKY V 3 7 E 0 0 E	1	1			
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
