Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
DIRECT O2 vlv - CLOSE (CW)			7					DirectO2RotarySwitch	6	1			
  SUIT PRESS - 4.8-5.2 psia									-1	1			
  O2 FLOW ind - 0.2-0.4 lb/hr			2						-1	1			
SUIT TEST vlv - PRESS								SuitTestRotary	2	1			
  O2 FLOW ind - 1.0 lb/hr			2						-1	1			
  O2 FLOW HI lt - on 	20	HIDDEN_DELAY							-1	1			
  MASTER ALARM pb/lt (3) - on, push			1,3,122					MasterAlarmSwitch	1	1			
  SUIT PRESS - 8.9-9.7 psia									-1	1			
  PGA PRESS - 4.1-4.5 psia									-1	1			
RH SUIT FLOW vlv - OFF			300					SuitCircuitFlow300Switch	2	1			
LH SUIT FLOW vlv - OFF			301					SuitCircuitFlow301Switch	2	1			
CTR SUIT FLOW vlv - OFF			302					SuitCircuitFlow302Switch	2	1			
  Monitor for 0.5psi/min decay	60	HIDDEN_DELAY							-1	1			
LH SUIT FLOW vlv - FULL FLOW			301					SuitCircuitFlow301Switch	0	1			
SUIT TEST vlv - DEPRESS								SuitTestRotary	1	1			
  O2 FLOW HI lt - off									-1	1			
  O2 FLOW ind - 0.2-0.4 lb/hr			2						-1	1			
  SUIT PRESS - slightly >CAB PRESS									-1	0			
SUIT TEST vlv - OFF								SuitTestRotary	0	1			
