Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
SUIT PWR - on (up)			9	Ingress & Status Checks	CDR Ingress LH Couch		Panel 9	LeftSuitPowerSwitch	1	1			
PWR - AUDIO/TONE							Panel 9	LeftAudioPowerSwitch	2	1			
CAB FAN 1 - on (up)			2				Panel 2, ECS switches	CabinFan1Switch	1	1			
CAB FAN 2 - on (up)							Panel 2, ECS switches	CabinFan2Switch	1	1			
FLOAT BAG 1 - VENT			8					FloatBagSwitch1	0	1			
FLOAT BAG 2 - VENT								FloatBagSwitch2	0	1			
FLOAT BAG 3 - VENT								FloatBagSwitch3	0	1			
THC - neutral			1					THCRotary	1	1			
MAN ATT ROLL - RATE CMD							Panel 1	ManualAttRollSwitch	1	1			
MAN ATT PITCH - ACCEL CMD							Panel 1	ManualAttPitchSwitch	2	1			
MAN ATT YAW - RATE CMD							Panel 1	ManualAttYawSwitch	1	1			
SCS TVC PITCH - RATE CMD							Panel 1	SCSTvcPitchSwitch	1	1			
SCS TVC YAW - RATE CMD							Panel 1	SCSTvcYawSwitch	1	1			
dV CG - LM/CSM							Panel 1	CGSwitch	1	1			
ELS AUTO - AUTO							Panel 1	ELSAutoSwitch	1	1			
SUIT PWR - on (up)			6		LMP Ingress		Panel 6	SuitPowerSwitch	1	1			
PWR - AUDIO/TONE							Panel 6	RightAudioPowerSwitch	2	1			
SPS GAUGING - AC1			4				Panel 4	SPSGaugingSwitch	2	1			
GLY PUMPS - 1/AC1 (verify)							Panel 4, Rotating Switch	EcsGlycolPumpsSwitch	1	1			
VHF ANT - SM LEFT			3				Panel 3	VHFAntennaRotarySwitch	1	1			
OXID FLOW VLV INCR - NORM							Panel 3	SPSOxidFlowValveSwitch	1	1			
MNA RSET - ctr								MainBusAResetSwitch	1	1			
MNB RSET - ctr								MainBusBResetSwitch	1	1			
SPS He VLV A - AUTO							Panel 3, SPS Switches	SPSHeliumValveASwitch	2	1			
SPS He VLV B - AUTO							Panel 3, SPS Switches	SPSHeliumValveBSwitch	2	1			
S BD ANT OMNI - B							Panel 3, Comm Switches	SBandAntennaSwitch1	1	1			
