Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
EMS FUNC - OFF			1				Panel 1, EMS	EMSFunctionSwitch	0	1			
EMS MODE - STBY								EMSModeSwitch	1	1			
FDAI SCALE - 5/1								FDAIScaleSwitch	2	1			
FDAI SEL - 1/2								FDAISelectSwitch	2	1			
FDAI SOURCE - ATT SET								FDAISourceSwitch	1	1			
ATT SET - GDC								FDAIAttSetSwitch	0	1			
MAN ATT ROLL - MIN IMP								ManualAttRollSwitch	0	1			
MAN ATT PITCH - MIN IMP								ManualAttPitchSwitch	0	1			
MAN ATT YAW - MIN IMP								ManualAttYawSwitch	0	1			
ATT DBD - MAX								AttDeadbandSwitch	1	1			
RATE - LOW								AttRateSwitch	0	1			
AUTO RCS A/C ROLL A1 - OFF							Panel 8	AcRollA1Switch	1	1			
AUTO RCS A/C ROLL C1 - OFF							Panel 8	AcRollC1Switch	1	1			
AUTO RCS A/C ROLL A2 - OFF							Panel 8	AcRollA2Switch	1	1			
AUTO RCS A/C ROLL C2 - OFF							Panel 8	AcRollC2Switch	1	1			
AUTO RCS B/D ROLL B1 - OFF							Panel 8	BdRollB1Switch	1	1			
AUTO RCS B/D ROLL D1 - OFF							Panel 8	BdRollD1Switch	1	1			
AUTO RCS B/D ROLL B2 - OFF							Panel 8	BdRollB2Switch	1	1			
AUTO RCS B/D ROLL D2 - OFF							Panel 8	BdRollD2Switch	1	1			
AUTO RCS PITCH A3 - OFF							Panel 8	PitchA3Switch	1	1			
AUTO RCS PITCH C3 - OFF							Panel 8	PitchC3Switch	1	1			
AUTO RCS PITCH A4 - OFF							Panel 8	PitchA4Switch	1	1			
AUTO RCS PITCH C4 - OFF							Panel 8	PitchC4Switch	1	1			
AUTO RCS YAW B3 - OFF							Panel 8	YawB3Switch	1	1			
AUTO RCS YAW D3 - OFF							Panel 8	YawD3Switch	1	1			
AUTO RCS YAW B4 - OFF							Panel 8	YawB4Switch	1	1			
AUTO RCS YAW D4 - OFF							Panel 8	YawD4Switch	1	1			
THC PWR - OFF								TransContrSwitch	0	1			
RHC PWR NORM 1 - OFF								RotPowerNormal1Switch	1	1			
RHC PWR NORM 2 - OFF								RotPowerNormal2Switch	1	1			
RHC PWR DIR 1 - OFF								RotPowerDirect1Switch	1	1			
RHC PWR DIR 2 - OFF								RotPowerDirect2Switch	1	1			
CMC MODE - FREE								CMCModeSwitch	0	1			
BMAG MODE ROLL - RATE 2								BMAGRollSwitch	2	1			
BMAG MODE PITCH - RATE 2								BMAGPitchSwitch	2	1			
BMAG MODE YAW - RATE 2								BMAGYawSwitch	2	1			
SCS TVC PITCH - RATE CMD								SCSTvcPitchSwitch	1	1			
SCS TVC YAW - RATE CMD								SCSTvcYawSwitch	1	1			
.05g sw - OFF								GSwitch	0	1			
a/Pc IND sw - Pc								LVSPSPcIndicatorSwitch	0	1			
TVC GMBL DR PITCH - AUTO								TVCGimbalDrivePitchSwitch	1	1			
TVC GMBL DR YAW - AUTO								TVCGimbalDriveYawSwitch	1	1			
BMAG PWR 1 - WARMUP								BMAGPowerRotary1Switch	1	1			
BMAG PWR 2 - WARMUP								BMAGPowerRotary2Switch	1	1			
TVC SERVO PWR 1 - OFF								TVCServoPower1Switch	1	1			
TVC SERVO PWR 2 - OFF								TVCServoPower2Switch	1	1			
FDAI/GPI POWER - OFF								FDAIPowerRotarySwitch	0	1			
LOGIC 2/3 PWR - OFF								LogicPowerSwitch	0	1			
SCS ELEC PWR - OFF								SCSElectronicsPowerRotarySwitch	0	1			
SIG COND/DR BIAS PWR 1 - OFF								SIGCondDriverBiasPower1Switch	1	1			
SIG COND/DR BIAS PWR 2 - OFF								SIGCondDriverBiasPower2Switch	1	1			
