Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
C/W PWR - 1 (up)			2	Spacecraft Systems Activation	C/W system activation		"Panel 2, C/W Switches"	CautionWarningPowerSwitch	2	1			
"MASTER ALARM pb/lt (3) - on, push"	5	HIDDEN_DELAY	"1,3,122"				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1			
cb G/N COMPUTER MNA - close			5		CMC power up		"Panel 5, Guidance and Navigation Circuit breakers"	GNComputerMnACircuitBraker	1	1			
cb G/N COMPUTER MNB - close							"Panel 5, Guidance and Navigation Circuit breakers"	GNComputerMnBCircuitBraker	1	1			
  CMC lt - out 			2						-1	1			
"  CMC RESTART - on, PROG ALARM - on"									-1	1			
RSET								DSKY R	1	1			
V35E			DSKY		DSKY lamp test			DSKY V 3 5 E	1	1			
"MASTER ALARM pb/lt (3) - on, push"			"1,3,122"				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1			
V37E 00E	10	HIDDEN_DELAY						DSKY V 3 7 E 0 0 E	1	1			
G/N IMU PWR - on (up)			100		IMU power up		Panel 100	GNPowerIMUSwitch	1G	1			
  NO ATT lt - on			2				Panel 2		-1	1			
  NO ATT lt - off (90 sec)	100	HIDDEN_DELAY					Panel 2		-1	1			
FDAI/GPI POWER - 1			7		Start program P01		Panel 7	FDAIPowerRotarySwitch	1	1			
V37E 01E			DSKY					DSKY V 3 7 E 0 1 E	1	1			
  NO ATT lt - on 	11	HIDDEN_DELAY							-1	1			
  Coarse align IMU	12	HIDDEN_DELAY							-1	1			
  NO ATT lt - off 									-1	1			
  Change to P02									-1	1			
FDAI/GPI POWER - OFF			7				Panel 7	FDAIPowerRotarySwitch	0	1			
