Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
V37E 32E								DSKY V 3 7 E 3 2 E	1	1			
  F 06 11 TIG of CSI									-1	0			
V25E								DSKY V 2 5 E 	1	1			
  Load TIG of CSI									-1	0			
PRO	10	HIDDEN_DELAY						DSKY P	1	1			
"  F 06 55 APSIS CDH, TPI ELEVATION ANGLE, CENTRAL ANGLE"									-1	0			
V25E								DSKY V 2 5 E 	1	1			
"  Load APSIS CDH, TPI ELEVATION ANGLE, CENTRAL ANGLE"									-1	0			
+00001								DSKY + 0 0 0 0 1 E 	1	1			
+02660								DSKY + 0 2 6 6 0 E 	1	1			
+13000								DSKY + 1 3 0 0 0 E 	1	1			
PRO								DSKY P	1	1			
  F 06 37 TIG of TPI									-1	0			
V25E								DSKY V 2 5 E 	1	1			
  Load TIG of TPI									-1	0			
PRO								DSKY P	1	1			
"  F 16 45 MARKS, TFI, -00001"									-1	0			
  Reset ET									-1	0			
													
													
At CSI-29m									-1	0			
Wait for 5 marks									-1	0			
V32E (Recycle P32)								DSKY V 3 2 E 	1	1			
"  F 06 75 dH, dT CSI/CDH, dT CDH/TPI"									-1	0			
PRO								DSKY P	1	1			
  F 06 81 dV XYZ (LV-CSI)									-1	0			
PRO								DSKY P	1	1			
  F 06 82 dV XYZ (LV-CDH)									-1	0			
PRO								DSKY P	1	1			
"  F 16 45 MARKS, TFI, -00001"									-1	0			
													
At CSI-24m									-1	0			
Wait for 10 marks									-1	0			
V32E (Recycle P32)								DSKY V 3 2 E 	1	1			
"  F 06 75 dH, dT CSI/CDH, dT CDH/TPI"									-1	0			
PRO								DSKY P	1	1			
  F 06 81 dV XYZ (LV-CSI)									-1	0			
PRO								DSKY P	1	1			
  F 06 82 dV XYZ (LV-CDH)									-1	0			
PRO								DSKY P	1	1			
"  F 16 45 MARKS, TFI, -00001"									-1	0			
V90E								DSKY V 9 0 E	1	1			
  F 06 16 Load CSI Time									-1	0			
V25E								DSKY V 2 5 E 	1	1			
  Load CSI Time									-1	0			
PRO								DSKY P	1	1			
"  F 06 90 Y, Ydot, PSI"									-1	0			
  Copy Ydot at CSI									-1	0			
PRO								DSKY P	1	1			
"  F 16 45 MARKS, TFI, -00001"									-1	0			
													
At CSI-12m									-1	0			
PRO (Final Comp)								DSKY P	1	1			
"  F 06 75 dH, dT CSI/CDH, dT CDH/TPI"									-1	0			
PRO								DSKY P	1	1			
  F 06 81 dV XYZ (LV-CSI)									-1	0			
  Insert Negative Ydot in R2									-1	0			
PRO								DSKY P	1	1			
  F 06 82 dV XYZ (LV-CDH)									-1	0			
PRO								DSKY P	1	1			
"  F 16 45 MARKS, TFI, MGA"									-1	0			
Perform AGS Update									-1	1	AGS Update		
"  F 16 45 MARKS, TFI, MGA"									-1	0			
  Reset ET									-1	0			
PRO								DSKY P	1	1			
  F 37									-1	1			
