Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
cb COMM: VHF B XMTR - close								COMM_VHF_XMTR_B_CB	1	1			
cb COMM: VHF A RCVR - close								COMM_VHF_RCVR_A_CB	1	1			
cb COMM: CDR AUDIO - close								COMM_CDR_AUDIO_CB	1	1			
cb INST: SIG CONDR 1 - close								INST_SIG_CONDR_1_CB	1	1			
cb ECS: GLYCOL PUMP 2 - close								ECS_GLYCOL_PUMP_2_CB	1	1			
													
cb INST: SIG CONDR 2 - close								INST_SIG_CONDR_2_CB	1	1			
cb EPS: DISP - close								EPS_DISP_CB	1	1			
cb EPS: DES ECA CONT (LMP) - close								LMPDesECAContCB	1	1			
													
Descent Power SE Bat 1 Low Voltage - On								DSCSEBat1LVSwitch	2	1			
Descent Power SE Bat 2 Low Voltage - On								DSCSEBat2LVSwitch	2	1			
Descent Power CDR Bat 3 Low Voltage - On								DSCCDRBat3LVSwitch	2	1			
Descent Power CDR Bat 4 Low Voltage - On								DSCCDRBat4LVSwitch	2	1			
Descent Power DES BATS - Connect								DSCBattFeedSwitch	2	1			
"Verify DES BATS tb(4) - LO,DES BATS-tb-gray"			14						-1	1			
BATS 5&6 tb(4) - bp									-1	1			
cb EPS: CROSS TIE BAL LOADS (LMP) - open			16					LMPCrossTieBalCB	0	1			
													
cb COMM: DISP - close								COMM_DISP_CB	1	1			
cb COMM: VHF A XMTR - close								COMM_VHF_XMTR_A_CB	1	1			
cb COMM: VHF B RCVR - close								COMM_VHF_RCVR_B_CB	1	1			
cb COMM: PRIM S-BD PWR AMPL - close								COMM_PRIM_SBAND_PA_CB	1	1			
cb COMM: PRIM S-BD XMTR/RCVR - close								COMM_PRIM_SBAND_XCVR_CB	1	1			
cb INST: SIG SENSOR - close								INST_SIG_SENSOR_CB	1	1			
cb INST: PCM/TE - close								INST_PCMTEA_CB	1	1			
cb ECS: DISP - close								ECS_DISP_CB	1	1			
cb COMM: SE AUDIO - close								COMM_SE_AUDIO_CB	1	1			
