Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
PROPULSION SYS: TEMPS/PRESS - NOR					System Check				-1	1			
DES REG: TB's - 1/BP 2/GRAY									-1	1			
ASC REG: TB's - (2)-GRAY									-1	1			
RCS QUADS: TB's (8)-GRAY									-1	1			
MAIN SOV: TB's (2)-GRAY									-1	1			
CRSFD: TB-BP									-1	1			
ASC FEED: TB's (4)-BP									-1	1			
ECS SYS: TEMPS/PRESS - NOR									-1	1			
Ascent Power Bat 5 Normal - On								ASCBat5SESwitch	2	1			
Ascent Power Bat 6 Normal - On								ASCBat6CDRSwitch	2	1			
EPS SYS: VOLTS/AMPS - NOR									-1	1			
													
T-15m									-1	0			
Perform LR Self Test									-1	1	LDG RDR Self Test		
													
T-7m									-1	0			
Perform AGS Update									-1	1	AGS Update		
400+3			DEDA		AGS/PGNS Align			DEDA C 4 0 0 + 3 0 0 0 0 E	1	1			
400R (00000)			DEDA					DEDA C 4 0 0 R	1	1			
FDAI PGNS = FDAI AGS									-1	1			
411+0								DEDA C 4 1 1 + 0 0 0 0 0 E	1	1			
410+5								DEDA C 4 1 0 + 5 0 0 0 0 E	1	1			
At LOS									-1	0			
TELEMETRY: BITRATE - LO								TLMBitrateSwitch	1	1			
VHF B XMTR - DATA								VHFBVoiceSwitch	0	1			
													
T-6m									-1	0			
V37E 40E								DSKY V 3 7 E 4 0 E	1	1			
  F 50 18 Request MNVR to FDAI RPY Angles	10	HIDDEN_DELAY							-1	1			
V06 N86E								DSKY V 0 6  N 8 6 E	1	1			
dVX dVY dVZ (LV)									-1	0			
KEY REL								DSKY K	1	1			
GUID CONT - PGNS								GuidContSwitch	1	1			
MODE CONT PGNS - AUTO								ModeControlPGNSSwitch	2	1			
MODE CONT AGS - AUTO								ModeControlAGSSwitch	2	1			
PRO	2	HIDDEN_DELAY						DSKY P	1	1			
