Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
cb ED: LDG GEAR FLAG - close								EDS_CB_LG_FLAG	1	1			
cb ED: LOGIC PWR A - open								EDS_CB_LOGIC_A	0	1			
MASTER ARM - ON								EDMasterArm	1	1			
cb ED: LOGIC PWR A - close								EDS_CB_LOGIC_A	1	1			
LDG GEAR DEPLOY - FIRE								EDLGDeploy	1H	1			
LDG GEAR DEPLOY - SAFE	60	HIDDEN_DELAY						EDLGDeploy	0	1			
MASTER ARM - OFF								EDMasterArm	0	1			
cb ED: LDG GEAR FLAG - open								EDS_CB_LG_FLAG	1	1			
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
