Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Open LM Overhead Hatch	294600	MISSION_TIME		LM Ingress					-1	0			
Open PAMFD - Press ECS - Add LMP to CABIN			(MFD)						-1	0			
													
FLOOD - ALL				Entry Status Checks				FloodSwitch	0	1			
DES H2O vlv - OPEN								DESH2OValve	0	1			
DES O2 - OPEN								DESO2Valve	0	1			
CABIN REPRESS - AUTO								CabinRepressValveSwitch	1	1			
cb ECS: CABIN REPRESS - close								ECS_CABIN_REPRESS_CB	1	1			
LDG ANT - AUTO								LandingAntSwitch	2	1			
Initial CB Positions									-1	1	Initial CB Positions Chart		
Initial Switch Positions									-1	1	Initial Switch Positions		
Switch to CM									-1	0			
													
cb EPS: X-LUNAR BUS TIE (CDR) - close			11					CDRXLunarBusTieCB	1	1			
cb EPS: X-LUNAR BUS TIE (LMP) - close			16					LMPXLunarBusTieCB	1	1			
cb LTG: UTIL - close			11					CDR_LTG_UTIL_CB	1	1			
													
Comm Activation									-1	1	Comm Activation		
													
cb AC BUS B: BUS TIE INV 2 - close								AC_B_INV_2_FEED_CB	1	1			
cb AC BUS B: BUS TIE INV 1 - close								AC_B_INV_1_FEED_CB	1	1			
cb AC BUS A: BUS TIE INV 2 - close								AC_A_INV_2_FEED_CB	1	1			
cb AC BUS A: BUS TIE INV 1 - close								AC_A_INV_1_FEED_CB	1	1			
cb AC BUS A: AC BUS VOLT - close								AC_A_BUS_VOLT_CB	1	1			
cb EPS: INV 1 - close								CDRInverter1CB	1	1			
cb EPS: INV 2 - close								LMPInverter2CB	1	1			
PWR TEMP MON - AC BUS	5	HIDDEN_DELAY	14					EPSMonitorSelectRotary	9	1			
INV - 1	10	HIDDEN_DELAY						EPSInverterSwitch	1	1			
INV - 2								EPSInverterSwitch	2	1			
cb AC BUS B: S-BD ANT - close								SBD_ANT_AC_CB	1	1			
cb EPS: INV 1 - open								CDRInverter1CB	0	1			
S-BD Activation									-1	1	S-BD Activation		
VHF Simplex Voice Test									-1	1	VHF Simplex Voice Test		
Switch to CM									-1	0			
													
Wait for CSM Maneuver									-1	0			
S-Band Steerable Antenna Check	298800	MISSION_TIME							-1	1	S-BD Steerable Ant Check		
Switch to CM									-1	0			
													
LM Relay Test (Not Simulated Yet)									-1	0			
CSM Relay Test (Not Simulated Yet)									-1	0			
MSFN Relay Test (Not Simulated Yet)									-1	0			
Comm Deactivation	301200	MISSION_TIME							-1	1	Comm Deactivation		
Switch to CM									-1	0			
													
DES H2O - CLOSE	303600	MISSION_TIME						DESH2OValve	1	1			
DES O2 - CLOSE								DESO2Valve	1	1			
CABIN REPRESS - CLOSE								CabinRepressValveSwitch	2	1			
cb ECS: CABIN REPRESS - open								ECS_CABIN_REPRESS_CB	0	1			
cb LTG: UTIL - open								CDR_LTG_UTIL_CB	0	1			
Window Shades Up									-1	0			
FLOOD LT - OFF								FloodSwitch	1	1			
CABIN RELIEF & DUMP (OVHD) - OPEN								UpperReliefValve	0	1			
LMP IVT to CSM									-1	0			
Open PAMFD - Press ECS - Remove LMP			(MFD)						-1	0			
Close LM Overhead Hatch									-1	0			
Switch to CM									-1	0			
													
Open LM Overhead Hatch	339900	MISSION_TIME		LM Ingress					-1	0			
DES H2O vlv - OPEN								DESH2OValve	0	1			
DES O2 - OPEN								DESO2Valve	0	1			
CABIN REPRESS - AUTO								CabinRepressValveSwitch	1	1			
cb ECS: CABIN REPRESS - close								ECS_CABIN_REPRESS_CB	1	1			
EPS Activation									-1	1	EPS Activation		
S-BD Activation									-1	1	S-BD Activation		
Mission Timer Activation									-1	1	Mission Timer Activation		
Glycol Pump Activation									-1	1	Glycol Pump Activation		
PRIM EVAP FLOW 1 - OPEN								PrimEvap1FlowValve	0	1			
Caution Warning Checkout									-1	1	Caution Warning Checkout		
ECS Activation									-1	1	ECS Activation		
Verify HI Voltage Taps									-1	1	Select HI Voltage Taps		
Verify CB Status per ACTIVATION PWR UP Chart									-1	1	CB Activation Pwr Up Chart		
CDR To LM ECS									-1	1	CDR To LM ECS		
TB Verification									-1	1	TB Verification		
PGNS Turn-On & Self Test									-1	1	PGNS Turn-On & Self Test		
S-Band Steerable Antenna Check									-1	1	S-BD Steerable Ant Check		
Switch to CM									-1	0			
													
Suit Fan H2O Separator Check	342900	MISSION_TIME							-1	1	Suit Fan H2O Separator Check		
Glycol Pump Check									-1	1	Glycol Pump Check		
Sec S-BD T/R & PWR AMPL Check									-1	1	Sec S-BD TR & PWR AMPL Check		
VHF B Checkout									-1	1	VHF B Checkout		
VHF A Checkout									-1	1	VHF A Checkout		
LGC Clock Sync & TEPHEM Update									-1	1	LGC Clock Sync & TEPHEM Update		
TELEMETRY: BITRATE - LO	42	HIDDEN_DELAY						TLMBitrateSwitch	0	1			
LMP To LM ECS									-1	1	LMP To LM ECS		
													
Docked IMU Coarse Align	344100	MISSION_TIME							-1	1	Docked IMU Coarse Align		
Close LM Overhead Hatch									-1	0			
OVHD HATCH - LOCKED								UpperHandle	0	1			
OVHD CABIN DUMP - AUTO								UpperReliefValve	1	1			
Switch to CM									-1	0			
													
Ascent Battery Activation & Checkout									-1	1	Ascent Battery Activation		
ARS/PGA Pressure Integrity Check	345600	MISSION_TIME							-1	1	ARS PGA Press Integrity Check		
Regulator Check									-1	1	Regulator Check		
													
Copy DAP Load PAD	347100	MISSION_TIME		MCC Update					-1	0			
Switch to CM									-1	0			
													
Rate Gyro Check									-1	1	Rate Gyro Check		
AGS Activation & Self Test									-1	1	AGS Activation & Self Test		
													
Copy Gyro Torquing Angles	348600	MISSION_TIME		MCC Update					-1	0			
Perform IMU Fine Align									-1	1	Docked IMU Fine Align		
													
"LGC/CMC Clock Sync, REFSMMAT, State Vectors, LM PIPA Bias"				MCC Update					-1	0			
Uplink									-1	1	P27 Update		
TELEMETRY: BITRATE - HI								TLMBitrateSwitch	1	1			
S-BD ANT PITCH - (+193)								Panel12AntPitchKnob	1930	0			
S-BD ANT YAW - (+64)								Panel12AntYawKnob	640	0			
Switch to CM									-1	0			
													
Copy AGS K Factor				MCC Update					-1	0			
Perform AGS Initialization (90h Bias)									-1	1	AGS Initialization		
ORDEAL Initialization									-1	1	ORDEAL Initialization		
DAP Set & Gimbal/Throttle Test									-1	1	"DAP Set, Gimbal Throttle Test"		
RCS Pressurization									-1	1	RCS Pressurization		
Switch to CM									-1	0			
													
RCS Checkout									-1	1	RCS Checkout		
RCS Cold Fire									-1	1	RCS Cold Fire		
RCS Hot Fire				RCS Hot Fire					-1	1	RCS Hot Fire		
													
Perform RNDZ RDR Self Test									-1	1	RNDZ RDR Self Test		
Perform AGS Calibration									-1	1	AGS Calibration		
DPS Pressurization & Checkout									-1	1	DPS Pressurization		
Switch to CM									-1	0			
													
Deploy Landing Gear									-1	1	Deploy Landing Gear		
Perform AGS Update									-1	1	AGS Update		
