Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks	
V37E 30E								DSKY V 3 7 E 3 0 E	1	1				
  F 06 33 (TIG)									-1	1				
  Load TIG									-1	0				
PRO								DSKY P	1	1				
  F 06 81 DV XYZ (LV)									-1	1				
  Load DV's									-1	0				
PRO								DSKY P	1	1				
"  F 06 42 HA, HP, DV (REQ)"	60	HIDDEN_DELAY							-1	1				
PRO								DSKY P	1	1				
"  F 16 45 MARKS, TFI, MGA"									-1	1				
Wait for 4 marks									-1	0				
V93E (Reinitialize W-Matrix)								DSKY V 9 3 E 	1	1				
Wait for 11 marks									-1	0				
Switch to CM									-1	0				
V34E								DSKY V 3 4 E	1	1				
  F 37									-1	0				
00E								DSKY 0 0 E	1	1				
														
cb PGNS: RNDZ RDR - open								PGNS_RNDZ_RDR_CB	0	1				
cb AC BUS A: RNDZ RDR - open								RDZ_RDR_AC_CB	0	1				
Switch to CM									-1	0				
														
T-50m									-1	0				
APS Pressurization				APS Pressurization					-1	1	APS Pressurization			
Ascent Power Bat 5 Normal - On								ASCBat5SESwitch	2	1				
Ascent Power Bat 6 Normal - On								ASCBat6CDRSwitch	2	1				
Descent Power SE Bat 1 High Voltage - Off/Reset								DSCSEBat1HVSwitch	0	1				
Descent Power CDR Bat 3 High Voltage - Off/Reset								DSCCDRBat3HVSwitch	0	1				
cb EPS: ASC ECA CONT (CDR) - close								CDRAscECAContCB	1	1				
cb EPS: ASC ECA CONT (LMP) - close								LMPAscECAContCB	1	1				
														
T-40m									-1	0				
														
  Yaw 180 deg									-1	0				
  Pitch Down 180 deg									-1	0				
														
Perform Pre Stage Checks									-1	1	Pre Stage Checks			
														
cb AC BUS A: RNDZ RDR - close (Wait 30 sec)								RDZ_RDR_AC_CB	1	1				
cb PGNS: RNDZ RDR - close	30	HIDDEN_DELAY						PGNS_RNDZ_RDR_CB	1	1				
V37E 20E								DSKY V 3 7 E 2 0 E	1	1				
  F 50 18 Request MNVR to FDAI RPY Angles									-1	0				
V81E								DSKY V 8 1 E 	1	1				
GUID CONT - PGNS								GuidContSwitch	1	1				
MODE CONT PGNS - AUTO								ModeControlPGNSSwitch	2	1				
PRO								DSKY P	1	1				
  F 06 18 Auto MNVR to FDAI RPY Angles	2	HIDDEN_DELAY							-1	1				
														
400+2			DEDA					DEDA C 4 0 0 + 2 0 0 0 0 E	1	1				
MODE CONT AGS - AUTO								ModeControlAGSSwitch	2	1				
RATE/ERR MON (LMP) - LDR RDR/CMPTR								RightRateErrorMonSwitch	0	1				
														
  F 50 18 Request MNVR to FDAI RPY Angles	10	HIDDEN_DELAY							-1	0				
RNDZ RDR - LGC								RendezvousRadarRotary	2	1				
ENTER								DSKY E	1	1				
 NO TRACK Lt - Off									-1	0				
DSKY Blanks									-1	1				
  Verify Main Lobe Lock-On									-1	1				
Switch to CM									-1	0				
														
Wait for AOS									-1	0				
"Acquire S-Band Lock-On (S-BD 0, 0)"									-1	0				
"Verify VOICE, TLM"									-1	1				
VHF B XMTR - OFF								VHFBVoiceSwitch	1	1				
TELEMETRY: BITRATE - HI								TLMBitrateSwitch	1	1				
														
V37E 30E								DSKY V 3 7 E 3 0 E	1	1				
  F 06 33 (TIG)									-1	1				
  Load desired TIG									-1	0				
PRO								DSKY P	1	1				
  F 06 81 DV XYZ (LV)									-1	1				
  Load desired DV's									-1	0				
PRO								DSKY P	1	1				
"  F 06 42 HA, HP, DV (REQ)"	60	HIDDEN_DELAY							-1	1				
PRO								DSKY P	1	1				
"  F 16 45 MARKS, TFI, MGA"									-1	1				
Set Event Timer									-1	0				
Wait for 13 marks									-1	0				
PRO								DSKY P	1	1				
  F 37									-1	0				
00E								DSKY 0 0 E	1	1				
														
"Copy Insertion Pad, CSM State Vector Update"				MCC Update					-1	0				
Uplink									-1	1	P27 Update			
														
cb PGNS: RNDZ RDR - open	10	HIDDEN_DELAY						PGNS_RNDZ_RDR_CB	0	1				
cb AC BUS A: RNDZ RDR - open								RDZ_RDR_AC_CB	0	1				
														
Descent Power SE Bat 2 High Voltage - Off/Reset								DSCSEBat2HVSwitch	0	1				
Descent Power CDR Bat 4 High Voltage - Off/Reset								DSCCDRBat4HVSwitch	0	1				
														
  Yaw Left 180 deg									-1	0				
  Pitch Down 90 deg									-1	0				
														
T-12m									-1	0				
