Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
V37E 76E								DSKY V 3 7 E 7 6 E	1	1			
  F 06 84 Target dV XYZ (LV)									-1	1			
  Load desired dV's									-1	0			
PRO								DSKY P	1	1			
  F 06 33 (TIG)									-1	1			
  Load desired TIG									-1	0			
PRO								DSKY P	1	1			
  F 37	10	HIDDEN_DELAY							-1	1			
00E	10	HIDDEN_DELAY						DSKY 0 0 E	1	1			
													
													
													
													
													
													
													
													
													
													
													
													
