Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
PROPULSION SYS: TEMPS/PRESS - NOR					System Check				-1	1			
DES REG: TB's - 1/BP 2/GRAY									-1	1			
ASC REG: TB's - (2)-GRAY									-1	1			
RCS QUADS: TB's (8)-GRAY									-1	1			
MAIN SOV: TB's (2)-GRAY									-1	1			
CRSFD: TB-BP									-1	1			
ASC FEED: TB's (4)-BP									-1	1			
ECS SYS: TEMPS/PRESS - NOR									-1	1			
Ascent Power Bat 5 Normal - On								ASCBat5SESwitch	2	1			
Ascent Power Bat 6 Normal - On								ASCBat6CDRSwitch	2	1			
EPS SYS: VOLTS/AMPS - NOR									-1	1			
													
T-24m									-1	0			
P30 External dV									-1	1	P30 External dV		
													
T-22:30				Radar And Observation Pass					-1	0			
cb PGNS: LDR RDR - close								PGNS_LDG_RDR_CB	1	1			
LDG ANT - HOVER								LandingAntSwitch	0	1			
V78E					Start LR Spur Test			DSKY V 7 8 E	1	1			
													
T-21:40									-1	0			
Maintain 10 deg On Orb Rt Ball									-1	0			
													
T-18:20									-1	0			
Pitch Dn 10 deg (Local Vertical)									-1	0			
Observe Surface Washout									-1	0			
													
T-15m									-1	0			
Pericynthion									-1	0			
													
T-11:40									-1	0			
Pitch Dn 90 deg (Face Down)									-1	0			
Copy MSFN Pad Data				MCC Update					-1	0			
													
T-8:20									-1	0			
Landing Site									-1	0			
													
T-7m									-1	0			
Perform AGS Update									-1	1	AGS Update		
400+3			DEDA		AGS/PGNS Align			DEDA C 4 0 0 + 3 0 0 0 0 E	1	1			
400R (00000)			DEDA					DEDA C 4 0 0 R	1	1			
FDAI PGNS = FDAI AGS									-1	1			
411+0								DEDA C 4 1 1 + 0 0 0 0 0 E	1	1			
410+5								DEDA C 4 1 0 + 5 0 0 0 0 E	1	1			
													
T-6m									-1	0			
V37E 40E								DSKY V 3 7 E 4 0 E	1	1			
