Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks	
GUID CONT - PGNS								GuidContSwitch	1	1				
MODE SEL - LDG RADAR								ModeSelSwitch	2	1				
RNG/ALT MON - RNG/RNG RATE								AltRngMonSwitch	1	1				
RATE/ERR MON (CDR) - RNDZ RADAR								RateErrorMonSwitch	1	1				
ATTITUDE MON (CDR) - PGNS								AttitudeMonSwitch	1	1				
RATE/ERR MON (LMP) - LDR RDR/CMPTR								RightRateErrorMonSwitch	0	1				
ATTITUDE MON (LMP) - AGS								RightAttitudeMonSwitch	0	1				
SHFT/TRUN - ±50 deg								ShiftTruSwitch	1	1				
X-POINTER SCALE (CDR) - HI MULT			1					LeftXPointerSwitch	1	1				
X-POINTER SCALE (LMP) - HI MULT								RightXPointerSwitch	1	1				
RADAR TEST - OFF								RadarTestSwitch	1	1				
ENG GMBL - ENABLE			3					EngGimbalEnableSwitch	1	1				
ENG ARM - OFF								EngineArmSwitch	1	1				
ATT/TRANSL - 2 JETS								ATTTranslSwitch	0	1				
BAL CPL - ON								BALCPLSwitch	1	1				
DEAD BAND - MIN								DeadBandSwitch	0	1				
ATTITUDE CONTROL ROLL - PULSE								RollSwitch	1	1				
ATTITUDE CONTROL PITCH - PULSE								PitchSwitch	1	1				
ATTITUDE CONTROL YAW - PULSE								YawSwitch	1	1				
MODE CONT PGNS - ATT HOLD								ModeControlPGNSSwitch	1	1				
MODE CONT AGS - ATT HOLD								ModeControlAGSSwitch	1	1				
TTCA (CDR) - JETS									-1	1				
RNDZ RDR - LGC								RendezvousRadarRotary	2	1				
TTCA/TRANSL (CDR) - ENABLE								LeftTTCATranslSwitch	1	1				
ACA/4 JET (CDR) - ENABLE			4					LeftACA4JetSwitch	1	1				
TTCA/TRANSL (LMP) - ENABLE								RightTTCATranslSwitch	1	1				
ACA/4 JET (LMP) - ENABLE								RightACA4JetSwitch	1	1				
EXTERIOR LTG - TRACK								ExteriorLTGSwitch	0	1				
														
V82E								DSKY V 8 2 E	1	1				
PRO								DSKY P	1	1				
"  F 16 44 HA, HP, TFF"	5	HIDDEN_DELAY							-1	1				
  Verify Perigee Altitude	5	HIDDEN_DELAY							-1	1				
PRO								DSKY P	1	1				
														
  Yaw Right 180 deg									-1	0				
  Pitch Down 90 deg									-1	0				
														
cb AC BUS A: RNDZ RDR - close (Wait 30 sec)								RDZ_RDR_AC_CB	1	1				
cb PGNS: RNDZ RDR - close	30	HIDDEN_DELAY						PGNS_RNDZ_RDR_CB	1	1				
														
V37E 20E								DSKY V 3 7 E 2 0 E	1	1				
GUID CONT - PGNS								GuidContSwitch	1	1				
MODE CONT PGNS - AUTO								ModeControlPGNSSwitch	2	1				
  F 50 18 Request MNVR to FDAI RPY Angles									-1	0				
V81E								DSKY V 8 1 E 	1	1				
PRO								DSKY P	1	1				
  F 06 18 Auto MNVR to FDAI RPY Angles	2	HIDDEN_DELAY							-1	1				
  F 50 18 Request MNVR to FDAI RPY Angles									-1	0				
507+0			DEDA					DEDA C 5 0 7 + 0 0 0 0 0 E	1	1				
400+2								DEDA C 4 0 0 + 2 0 0 0 0 E	1	1				
MODE CONT AGS - AUTO								ModeControlAGSSwitch	2	1				
RATE/ERR MON (LMP) - LDR RDR/CMPTR								RightRateErrorMonSwitch	0	1				
ENTER								DSKY E	1	1				
 NO TRACK Lt - Off									-1	0				
DSKY Blanks									-1	1				
  Verify Main Lobe Lock-On									-1	1				
														
Phasing T+7m									-1	0				
V16 N45E								DSKY V 1 6 N 4 5 E	1	1				
"  F 16 45 MARKS, TFI, -00001"									-1	0				
Switch to CM									-1	0				
Wait for 5 marks									-1	0				
V56E								DSKY V 5 6 E	1	1				
00E								DSKY 0 0 E	1	1				
														
V41 N72E								DSKY V 4 1 N 7 2 E	1	1				
+00000E								DSKY + 0 0 0 0 0 E	1	1				
+28300E								DSKY + 2 8 3 0 0 E	1	1				
 N12 R2 00002									-1	1				
PRO								DSKY P	1	1				
V16 N72E								DSKY V 1 6 N 7 2 E	1	1				
Monitor RR									-1	0				
cb PGNS: RNDZ RDR - open								PGNS_RNDZ_RDR_CB	0	1				
cb AC BUS A: RNDZ RDR - open								RDZ_RDR_AC_CB	0	1				
V44E								DSKY V 4 4 E 	1	1				
														
Phasing T+15m									-1	0				
EXTERIOR LTG - OFF								ExteriorLTGSwitch	1	1				
Perform P52 IMU Realign (REFSMMAT)									-1	1	P52 IMU Realign (REFSMMAT)			
EXTERIOR LTG - TRACK								ExteriorLTGSwitch	0	1				
Switch to CM									-1	0				
														
Phasing T+25m									-1	0				
Copy Insertion PAD				MCC Update					-1	0				
														
400+3			DEDA					DEDA C 4 0 0 + 3 0 0 0 0 E	1	1				
cb AC BUS A: RNDZ RDR - close (Wait 30 sec)								RDZ_RDR_AC_CB	1	1				
cb PGNS: RNDZ RDR - close	30	HIDDEN_DELAY						PGNS_RNDZ_RDR_CB	1	1				
														
V37E 20E								DSKY V 3 7 E 2 0 E	1	1				
MODE CONT PGNS - AUTO								ModeControlPGNSSwitch	2	1				
  F 50 18 Request MNVR to FDAI RPY Angles									-1	0				
V81E								DSKY V 8 1 E 	1	1				
PRO								DSKY P	1	1				
  F 06 18 Auto MNVR to FDAI RPY Angles	2	HIDDEN_DELAY							-1	1				
														
507+0			DEDA					DEDA C 5 0 7 + 0 0 0 0 0 E	1	1				
400+2								DEDA C 4 0 0 + 2 0 0 0 0 E	1	1				
MODE CONT AGS - AUTO								ModeControlAGSSwitch	2	1				
RATE/ERR MON (LMP) - LDR RDR/CMPTR								RightRateErrorMonSwitch	0	1				
														
  F 50 18 Request MNVR to FDAI RPY Angles									-1	0				
ENTER								DSKY E	1	1				
 NO TRACK Lt - Off									-1	0				
DSKY Blanks									-1	1				
  Verify Main Lobe Lock-On									-1	1				
														
Phasing T+30m									-1	0				
Perform Insertion Burn				Insertion					-1	1	Insertion			
														
cb AC BUS A: RNDZ RDR - close (Wait 30 sec)								RDZ_RDR_AC_CB	1	1				
cb PGNS: RNDZ RDR - close	30	HIDDEN_DELAY						PGNS_RNDZ_RDR_CB	1	1				
Insertion T+3m									-1	0				
V41 N72E								DSKY V 4 1 N 7 2 E	1	1				
+00000E								DSKY + 0 0 0 0 0 E	1	1				
+28300E								DSKY + 2 8 3 0 0 E	1	1				
 N12 R2 00002									-1	1				
PRO								DSKY P	1	1				
V16 N72E								DSKY V 1 6 N 7 2 E	1	1				
