Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
SUIT GAS DIVERTER - PUSH/CABIN								SuitGasDiverterSwitch	1	1			
CABIN REPRESS - AUTO								CabinRepressValveSwitch	1	1			
PLSS FILL - CLOSE								PLSSFillValve	1	1			
PRESS REG A - CABIN								PressRegAValve	1	1			
PRESS REG B - CABIN								PressRegBValve	1	1			
DES O2 - OPEN								DESO2Valve	0	1			
ASC O2 1 - CLOSE								ASCO2Valve1	1	1			
ASC O2 2 - CLOSE								ASCO2Valve2	1	1			
SUIT ISOL vlv (LMP) - SUIT FLOW								LMPSuitIsolValve	0	1			
SUIT ISOL vlv (CDR) - SUIT FLOW								CDRSuitIsolValve	0	1			
SEC EVAP FLOW vlv - CLOSE								SecEvapFlowValve	1	1			
PRIM EVAP FLOW 2 vlv - CLOSE								PrimEvap2FlowValve	1	1			
WATER TANK SELECT - DES								WaterTankSelectValve	0	1			
SUIT TEMP vlv - adjust								SuitTempValve	-1	0			
ASC H2O vlv - CLOSE								ASCH2OValve	1	1			
DES H2O vlv - OPEN								DESH2OValve	0	1			
PRIM EVAP FLOW 1 vlv - OPEN								PrimEvap1FlowValve	0	1			
CABIN GAS RETURN - AUTO								CabinGasReturnValveSwitch	1	1			
CO2 CANISTER SEL - PRIM								CO2CanisterSelectSwitch	1	1			
SUIT CIRCUIT RELIEF vlv - AUTO								SuitCircuitReliefValveSwitch	1	1			
PRIM CO2 CANISTER cover - CLOSE								CO2CanisterPrimValve	1	1			
SEC CO2 CANISTER cover - CLOSE								CO2CanisterSecValve	1	1			
WATER SEP SEL vlv - PUSH SEP 1								WaterSepSelectSwitch	1	1			
LIQUID GARMENT COOLING vlv - COLD								LiquidGarmentCoolingValve	0	1			
OVHD CABIN DUMP VALVE - AUTO								UpperReliefValve	1	1			
FWD CABIN DUMP VALVE - AUTO								ForwardReliefValve	1	1			
													
cb ECS: SUIT FAN 1 - close			11					ECS_SUIT_FAN_1_CB	1	1			
cb ECS: CABIN FAN 1 - open								ECS_CABIN_FAN_1_CB	0	1			
cb ECS: GLYCOL PUMP 2 - close								ECS_GLYCOL_PUMP_2_CB	1	1			
cb ECS: GLYCOL PUMP 1 - close								ECS_GLYCOL_PUMP_1_CB	1	1			
cb ECS: GLYCOL PUMP AUTO TRNFR - open								ECS_GLYCOL_PUMP_AUTO_XFER_CB	0	1			
GLYCOL - PUMP 1			2					GlycolRotary	1	1			
SUIT FAN - 1								SuitFanRotary	1	1			
O2/H2O QTY MON - DES								QtyMonRotary	1	1			
  ECS C/W lts - off									-1	1			
													
cb ECS: SUIT FLOW CONT - close			16					ECS_SUIT_FLOW_CONT_CB	1	1			
cb ECS: DISP - close								ECS_DISP_CB	1	1			
cb ECS: GLYCOL PUMP SEC - open								ECS_GLYCOL_PUMP_SEC_CB	0	1			
cb ECS: LCG PUMP - close								ECS_LGC_PUMP_CB	1	1			
cb ECS: CABIN FAN CONT - close								ECS_CABIN_FAN_CONT_CB	1	1			
cb ECS: CABIN REPRESS - close								ECS_CABIN_REPRESS_CB	1	1			
cb ECS: SUIT FAN 2 - close								ECS_SUIT_FAN_2_CB	1	1			
cb ECS: SUIT FAN dP - close								ECS_SUIT_FAN_DP_CB	1	1			
cb ECS: DIVERT VLV - close								ECS_DIVERT_VLV_CB	1	1			
cb ECS: CO2 SENSOR - close								ECS_CO2_SENSOR_CB	1	1			
