Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
C/W NORM - NORM			2	C&WS Status Check			"Panel 2, C/W Switches"	CautionWarningModeSwitch	2	1			
C/W CSM - CSM							"Panel 2, C/W Switches"	CautionWarningCMCSMSwitch	1	1			
C/W PWR - 2 (down)							"Panel 2, C/W Switches"	CautionWarningPowerSwitch	0	1			
"MASTER ALARM pb/lt (3) - on, push"			"1,3,122"				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1			
C/W PWR - 1 (up)			2				"Panel 2, C/W Switches"	CautionWarningPowerSwitch	2	1			
"MASTER ALARM pb/lt (3) - on, push"	1	HIDDEN_DELAY	"1,3,122"				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1			
C/W LAMP TEST - 1 (hold)			2				"Panel 2, C/W Switches 14 lights lit (left)"	CautionWarningLightTestSwitch	2H	1			Explain hold with Shift-Key
  MASTER ALARM pb/lt - on			1						-1	1			
  lh C/W lt (14) - on			2						-1	1			
C/W NORM - BOOST							"Panel 2, C/W Switches"	CautionWarningModeSwitch	1	1			
  MASTER ALARM pb/lt - out			1						-1	1			
C/W NORM - NORM			2				"Panel 2, C/W Switches"	CautionWarningModeSwitch	2	1			
  MASTER ALARM pb/lt - on			1						-1	1			
C/W LAMP TEST - 2 (hold)			2				"Panel 2, C/W Switches 20 lights lit (right)"	CautionWarningLightTestSwitch	0H	1			
  MASTER ALARM pb/lt - out			1						-1	1			
  lh C/W lt (14) - out			2						-1	1			
  MASTER ALARM pb/lt - on			3						-1	1			
  rh C/W lt (20) - on			2						-1	1			
C/W LAMP TEST - rel							"Panel 2, C/W Switches 20 lights lit (right)"	CautionWarningLightTestSwitch	1	1			
  MASTER ALARM pb/lt - out			3						-1	1			
  rh C/W lt (20) - out			2						-1	1			
C/W NORM - ACK							"Panel 2, C/W Switches"	CautionWarningModeSwitch	0	1			
EMS FUNC - OFF			1	EMS Prelaunch Test	Initial EMS Prep		"Panel 1, EMS"	EMSFunctionSwitch	0	1			
cb EMS MNA - close			8					EMSMnACircuitBraker	1	1			
cb EMS MNB - close								EMSMnBCircuitBraker	1	1			
GTA sw - on (up)			1				"Panel 1, EMS"	GTASwitch	1	1			
EMS MODE - STBY								EMSModeSwitch	1	1			
EMS FUNC - dV					EMS dV Test			EMSFunctionSwitch	1	1			
EMS MODE - NORM								EMSModeSwitch	2	1			
  dV ind changes <0.1 per 10sec									-1	1			
EMS FUNC - dV SET								EMSFunctionSwitch	2	1			
Slew dV ind to +1586.8								EMSDvDisplay	15868	1			Explain left/right mouse click
EMS FUNC - dV TEST								EMSFunctionSwitch	3	1			
  SPS THRUST lt - on									-1	1			
  dV ind - decr (10 sec)	10	HIDDEN_DELAY							-1	1			
  SPS THRUST lt - out (at dV -0.1 fps)									-1	1			
  dV ind - stops at -20.8 ± 20.7 fps									-1	1			
EMS MODE - STBY								EMSModeSwitch	1	1			
EMS FUNC - EMS TEST 1					EMS Entry Test			EMSFunctionSwitch	11	1			
EMS MODE - NORM								EMSModeSwitch	2	1			
  .05 G lt - out									-1	1			
  SPS THRUST lt - out									-1	1			
  Lift vctr dn lt - out									-1	1			
  Lift vctr up lt - out									-1	1			
  RNG ind - 0.0 NM									-1	1			
Slew scroll until disp index superimposed upon notch at start of next self-test pattern								EMSScrollDisplay	27	1			
EMS FUNC - EMS TEST 2								EMSFunctionSwitch	10	1			
  Wait 10 sec	10	HIDDEN_DELAY							-1	1			
  .05 G lt - on (all others out)									-1	1			
EMS FUNC - EMS TEST 3								EMSFunctionSwitch	9	1			
  .05 G lt - on									-1	1			
  Lift vctr dn lt - on (10 sec after .05 G lt)	10	HIDDEN_DELAY							-1	1			
Set RNG ind to 58.0 NM								EMSDvDisplay	580	1			Explain left/right mouse click
EMS FUNC - EMS TEST 4								EMSFunctionSwitch	8	1			
  .05 G lt - on (all others out)									-1	1			
  G-V trace (during 10-sec period) within test pattern									-1	1			
"  After 10 sec, G-V trace stops at lower right corner of test pattern"	10	HIDDEN_DELAY							-1	1			
  RNG ind (during 10-sec period) counts toward zero									-1	1			
"  After 10 sec, stops at 0.0 ± 0.2 NM"									-1	1			
EMS FUNC - EMS TEST 5								EMSFunctionSwitch	7	1			
  .05 G lt - on									-1	1			
  Lift vctr up lt - on (10 sec after .05 G lt)	10	HIDDEN_DELAY							-1	1			
  RNG ind - resets to 0.0 NM									-1	1			
  Scribe traces vert line = 9 G to 0.28 G & stops (trace within test pattern)									-1	1			
EMS FUNC - RNG SET								EMSFunctionSwitch	6	1			
EMS MODE - STBY								EMSModeSwitch	1	1			
  Scribe traces vert line from 0.28 G to 0.0 ± 0.1 G & stops									-1	1			
  All lt - out									-1	1			
EMS FUNC - OFF					EMS off			EMSFunctionSwitch	0	1			
GTA sw - OFF								GTASwitch	0G	1			
  Close GTA cover									-1	1			
GLY TO RAD SEC vlv - NORM			377	Glycol Loop Checks	Sec Gly Loop Check			GlycolToRadiatorsRotary	1	1			
ECS IND sel - SEC			2				"Panel 2, ECS switches, Rotating Switch"	ECSIndicatorsSwitch	1	1			
SEC COOL PUMP - AC1							"Panel 2, ECS switches"	SecCoolantLoopPumpSwitch	2	1			
  ECS RAD TEMP SEC IN ind - 60 deg-97 degF									-1	1			
  ECS RAD TEMP SEC OUT ind - 60 deg-70 degF (pegged)									-1	1			
  SEC GLY EVAP TEMP OUT ind - 60 deg-75 degF (pegged)									-1	1			
  SEC GLY EVAP STM PRESS ind - 0.25 psi									-1	1			
  SEC GLY DISCH PRESS ind - 39-51 psi									-1	1			
  SEC ACCUM QTY - 30-50%									-1	1			
SEC COOL PUMP - AC2							"Panel 2, ECS switches"	SecCoolantLoopPumpSwitch	0	1			
  SEC GLY DISCH PRESS ind - 39-51 psi									-1	1			
SEC COOL PUMP - OFF							"Panel 2, ECS switches"	SecCoolantLoopPumpSwitch	1	1			
ECS IND sel - PRIM							"Panel 2, ECS switches, Rotating Switch"	ECSIndicatorsSwitch	0	1			
GLY TO RAD SEC vlv - BYP			377					GlycolToRadiatorsRotary	0	1			
GLY PUMPS - 2/AC1			4		Prim Gly Loop Activation		"Panel 4, Rotating Switch"	EcsGlycolPumpsSwitch	3	1			
  PRI GLY DISCH PRESS ind - 37-50 psi			2						-1	1			
  PRI ACCUM QTY - 25-50%									-1	1			
GLY PUMPS - 1/AC1			4				"Panel 4, Rotating Switch"	EcsGlycolPumpsSwitch	1	1			
  PRI GLY DISCH PRESS ind - 37-50 psi			2						-1	1			
RAD FLOW CONT PWR - PWR							"Panel 2, ECS switches"	EcsRadiatorsFlowContPwrSwitch	2	1			
RAD FLOW CONT AUTO - 2							"Panel 2, ECS switches"	EcsRadiatorsFlowContAutoSwitch	0	1			
  ECS RAD tb - 2									-1	1			
RAD FLOW CONT AUTO - AUTO							"Panel 2, ECS switches"	EcsRadiatorsFlowContAutoSwitch	2	1			
  ECS RAD tb - gray									-1	1			
RAD FLOW CONT PWR - off (ctr)							"Panel 2, ECS switches"	EcsRadiatorsFlowContPwrSwitch	1	1			
DIRECT O2 - just past half open			7					DirectO2RotarySwitch	2	1			
  O2 FLOW ind 0.4±0.1lb/h			2						-1	1			
C/W NORM - BOOST			2	Standby inverter check 			"Panel 2, C/W Switches"	CautionWarningModeSwitch	1	1			
AC2 RSET - OFF			3					AcBus2ResetSwitch	0	1			
INV 3 - MNB								MnA3Switch	0	1			
INV 2 AC2 - OFF								AcBus2Switch2	0	1			
INV 3 AC2 - on (up)								AcBus2Switch3	1	1			
AC2 RSET - RSET								AcBus2ResetSwitch	2	1			
"MASTER ALARM pb/lt (2) - on, push"	1	HIDDEN_DELAY	3.122				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1			
C/W lts (34) - out			2						-1	1			
"AC IND sel - BUS 2, ØA, B, C"			3					ACIndicatorRotary	3	1			
  AC VOLTS ind - 113-117 vac							"Check 113-117 volts, all three phases"		-1	1			
AC2 RSET - OFF								AcBus2ResetSwitch	0	1			
INV 3 AC2 - OFF								AcBus2Switch3	0	1			
INV 2 AC2 - on (up)								AcBus2Switch2	1	1			
AC2 RSET - RSET								AcBus2ResetSwitch	2	1			
"MASTER ALARM pb/lt (2) - on, push"	1	HIDDEN_DELAY	3.122				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1			
C/W lts (34) - out			2						-1	1			
INV 3 - OFF			3				Panel 3	MnA3Switch	1	1			
"AC IND sel - BUS 1 & 2, ØA, B, C"								ACIndicatorRotary	0	1			
  AC VOLTS ind - 113-117 vac							"Check 113-117 volts, all three phases"		-1	1			
C/W NORM - ACK			2				"Panel 2, C/W Switches"	CautionWarningModeSwitch	0	1			
cb FC 1 RAD - close			226	FC Radiator & Float Bag Checks	FC Rad Check			FuelCell1RadCB	1	1			
cb FC 2 RAD - close								FuelCell2RadCB	1	1			
cb FC 3 RAD - close								FuelCell3RadCB	1	1			
FC Rad tb (all) - grey			3				"Panel 3, FC Switches"		-1	1			
cb FC 1 RAD - open			226					FuelCell1RadCB	0	1			
cb FC 2 RAD - open								FuelCell2RadCB	0	1			
cb FC 3 RAD - open								FuelCell3RadCB	0	1			
FLOAT BAG 1 - OFF			8		Float Bag Check			FloatBagSwitch1	1	1			
FLOAT BAG 2 - OFF								FloatBagSwitch2	1	1			
FLOAT BAG 3 - OFF								FloatBagSwitch3	1	1			
cb FLOAT BAG 1 - close								FloatBag1BatACircuitBraker	1	1			
cb FLOAT BAG 2 - close								FloatBag2BatBCircuitBraker	1	1			
cb FLOAT BAG 3 - close								FloatBag3FLTPLCircuitBraker	1	1			
FLOAT BAG 1 - VENT								FloatBagSwitch1	0	1			
FLOAT BAG 2 - VENT								FloatBagSwitch2	0	1			
FLOAT BAG 3 - VENT								FloatBagSwitch3	0	1			
cb FLOAT BAG 1 - open								FloatBag1BatACircuitBraker	0	1			
cb FLOAT BAG 2 - open								FloatBag2BatBCircuitBraker	0	1			
cb FLOAT BAG 3 - open								FloatBag3FLTPLCircuitBraker	0	1			
GLY TO RAD SEC vlv - BYP (verify)			377	LHEB ECS Valve Status				GlycolToRadiatorsRotary	0	1			
PRIM ACCUM FILL - OFF			379					AccumRotary	1	1			
PRIM GLY ACCUM vlv - open (CCW)			378					GlycolRotary	0	1			
Open cool cont atten pnl								Panel382Cover	1	1			
