Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Initial Stowage Completed (verifiy)									-1	1			
CMC Powered Up (verify)									-1	1			
IMU Powered Up (verify)									-1	1			
SCS Powered Up (verify)									-1	1			
P51 IMU Orientation Completed (verify)									-1	1			
V48E				Load DAP				DSKY V 4 8 E	1	1			
V24E								DSKY V 2 4 E	1	1			
11102E								DSKY 1 1 1 0 2 E	1	1			
01111E								DSKY 0 1 1 1 1 E	1	1			
"PRO, PRO, PRO"								DSKY P P P	1	1			
State Vector and REFSMMAT uplinked (verify)									-1	1			
Maneuver PAD copied (verify)									-1	1			
Copy Entry PAD									-1	0			
O2 Supply Refill				Systems Checks	ECS CKS				-1	1			
ECS Monitor Ck									-1	1	ECS Monitoring Check		
  EVAP H2O CONT PRIM - AUTO								EvapWaterControlPrimaryRotary	1	1			
  EVAP H2O CONT SEC - AUTO								EvapWaterControlSecondaryRotary	1	1			
  SUIT HT EXCH SEC GLY - FLOW								SuitHeatExchangerSecondaryGlycolRotary	0	1			
EPS Monitoring Checks					EPS CKS				-1	1	EPS Monitoring Check		
SPS Monitoring Check					SPS CK				-1	1	SPS Monitoring Check		
SM RCS Monitoring Check					RCS CKS				-1	1	CM RCS Monitoring Check		
CM RCS Monitoring Check									-1	1	SM RCS Monitoring Check		
C&W System Check					C&W SYS CK				-1	1	C&WS Operational Check		
CMC Self Check					CMC SELF CK				-1	1			
DSKY Condition Lights Test					DSKY COND LT TEST				-1	1			
SECS LOGIC A BAT A cb - close (verify)					LOGIC SEQUENCE CK		Panel 8	SECSLogicBatACircuitBraker	1	1			
SECS LOGIC B BAT B cb - close (verify)							Panel 8	SECSLogicBatBCircuitBraker	1	1			
SECS ARM A BAT A cb - close							Panel 8	SECSArmBatACircuitBraker	1	1			
SECS ARM B BAT B cb - close							Panel 8	SECSArmBatBCircuitBraker	1	1			
cb ELS BAT A - close			8					ELSBatACircuitBraker	1	1			
cb ELS BAT B - close								ELSBatBCircuitBraker	1	1			
ELS LOGIC - on (up)								ELSLogicSwitch	1	1			
ELS - AUTO								ELSAutoSwitch	1	1			
Coordinate next 3 steps with MSFN									-1	1			
SECS LOGIC 1 - on 							Panel 8	SECSLogic1Switch	1	1			
SECS LOGIC 2 - on							Panel 8	SECSLogic2Switch	1	1			
MSFN confirm GO for PYRO ARM as req'd									-1	1			
SECS LOGIC 1 - OFF							Panel 8	SECSLogic1Switch	0	1			
SECS LOGIC 2 - OFF							Panel 8	SECSLogic2Switch	0	1			
SECS ARM A BAT A cb - open							Panel 8	SECSArmBatACircuitBraker	0	1			
SECS ARM B BAT B cb - open							Panel 8	SECSArmBatBCircuitBraker	0	1			
ELS LOGIC - OFF								ELSLogicSwitch	0	1			
ELS - MAN								ELSAutoSwitch	0	1			
cb ELS BAT A - open			8					ELSBatACircuitBraker	0	1			
cb ELS BAT B - open								ELSBatBCircuitBraker	0	1			
P52 IMU Realign									-1	1	P52 IMU Realign (Preferred)		
GDC Align									-1	1	GDC Alignment to IMU		
EMS FUNC - OFF				EMS Tests				EMSFunctionSwitch	0	1			
cb EMS MNA - close			8					EMSMnACircuitBraker	1	1			
cb EMS MNB - close								EMSMnBCircuitBraker	1	1			
EMS MODE - STBY								EMSModeSwitch	1	1			
EMS FUNC - EMS TEST 1					EMS Entry Test			EMSFunctionSwitch	11	1			
EMS MODE - NORM								EMSModeSwitch	2	1			
  .05 G lt - out									-1	1			
  SPS THRUST lt - out									-1	1			
  Lift vctr dn lt - out									-1	1			
  Lift vctr up lt - out									-1	1			
  RNG ind - 0.0 NM									-1	1			
Slew scroll until disp index superimposed upon notch at start of next self-test pattern								EMSScrollDisplay	78	1			
EMS FUNC - EMS TEST 2								EMSFunctionSwitch	10	1			
  Wait 10 sec	10	HIDDEN_DELAY							-1	1			
  .05 G lt - on (all others out)									-1	1			
EMS FUNC - EMS TEST 3								EMSFunctionSwitch	9	1			
  .05 G lt - on									-1	1			
  Lift vctr dn lt - on (10 sec after .05 G lt)	10	HIDDEN_DELAY							-1	1			
Set RNG ind to 58.0 NM								EMSDvDisplay	580	1			Explain left/right mouse click
EMS FUNC - EMS TEST 4								EMSFunctionSwitch	8	1			
  .05 G lt - on (all others out)									-1	1			
  G-V trace (during 10-sec period) within test pattern									-1	1			
"  After 10 sec, G-V trace stops at lower right corner of test pattern"	10	HIDDEN_DELAY							-1	1			
  RNG ind (during 10-sec period) counts toward zero									-1	1			
"  After 10 sec, stops at 0.0 ± 0.2 NM"									-1	1			
EMS FUNC - EMS TEST 5								EMSFunctionSwitch	7	1			
  .05 G lt - on									-1	1			
  Lift vctr up lt - on (10 sec after .05 G lt)	10	HIDDEN_DELAY							-1	1			
  RNG ind - resets to 0.0 NM									-1	1			
  Scribe traces vert line = 9 G to 0.28 G & stops (trace within test pattern)									-1	1			
ALIGN SCROLL TO ENTRY PATTERN (on 37K ft/sec line)								EMSScrollDisplay	482	1			
EMS FUNC - RNG SET								EMSFunctionSwitch	6	1			
EMS MODE - STBY								EMSModeSwitch	1	1			
  Scribe traces vert line from 0.28 G to 0.0 ± 0.1 G & stops									-1	1			
  All lt - out									-1	1			
Perform EMS DV Test & NULL BIAS CHECK					EMS DV Test				-1	1	EMS DV Test		
FDAI SOURCE - ATT SET				RSI Test & Setup			Panel 1	FDAISourceSwitch	1	1			
ATT SET - GDC							Panel 1	FDAIAttSetSwitch	0	1			
EMS ROLL - on (up)							Panel 1	EMSRollSwitch	1	1			
GDC ALIGN pb - push & hold								GDCAlignButton	1H	1			
ATT SET YAW tw - adj thru 45 deg angle								ASCPYawSwitch	450	1			
  observe RSI tracks 45 deg									-1	1			
