Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Record Systems Data (Column 1)	1800	MISSION_TIME							-1	0			
Perform State Vector Update	3360	MISSION_TIME		State Vector Update					-1	1	P27 Auto Update		
cb EMS MNA - close	5400	MISSION_TIME	8	S-IVB LOX Dump	EMS dV Setup			EMSMnACircuitBraker	1	1			
cb EMS MNB - close								EMSMnBCircuitBraker	1	1			
EMS MODE - STBY			1					EMSModeSwitch	1	1			
EMS FUNC - dV SET								EMSFunctionSwitch	2	1			
Slew dV ind to +25.0								EMSDvDisplay	250	1			
EMS FUNC - dV								EMSFunctionSwitch	1	1			
"CMC - on, IMU on & aligned"					Select P47				-1	1			
Key V37E 47E			DSKY					DSKY V 3 7 E 4 7 E	1	1			
  R1/2/3 dVx/y/z in XXXX.X fps									-1	1			
EMS MODE - NORM			1					EMSModeSwitch	2	1			
LOX Dump starts	5672	MISSION_TIME							-1	1			
LOX Dump completed	6393	MISSION_TIME							-1	1			
EMS MODE - STBY			1		Return to P00			EMSModeSwitch	1	1			
Press PRO			DSKY					DSKY P	1	1			
Key V37E 00E	2	HIDDEN_DELAY						DSKY V 3 7 E 0 0 E	1	1			
EMS FUNC - OFF			1					EMSFunctionSwitch	0	1			
G/N OPT PWR - on (up)	7200	MISSION_TIME	100	SCT/SXT Dust Cover Jettison				GNPowerOpticsSwitch	1	1			
OPT ZERO - OFF			122					OpticsZeroSwitch	0	1			
OPT MODE - MAN								OpticsModeSwitch	0	1			
OPT COUPLING - DIR								ControllerCouplingSwitch	1	1			
OPT SPEED - HI								ControllerSpeedSwitch	2	1			
OHC - MAX RIGHT			SCT					OpticsHandcontrollerSwitch	-1	0			
Perform P52 IMU Realign (REFSMMAT)	7740	MISSION_TIME		P52 IMU Realign			Stars 2 and 4 were used.		-1	1	P52 IMU Realign (REFSMMAT)		
Perform S-IVB Attitude Control Demo	8700	MISSION_TIME		S-IVB Att Control Demo					-1	1	Manual SIVB Attitude Control		
SECS LOGIC A BAT A cb - close	9240	MISSION_TIME	8	Pyro Arm			Panel 8	SECSLogicBatACircuitBraker	1	1			
SECS LOGIC B BAT B cb - close							Panel 8	SECSLogicBatBCircuitBraker	1	1			
SECS ARM A BAT A cb - close							Panel 8	SECSArmBatACircuitBraker	1	1			
SECS ARM B BAT B cb - close							Panel 8	SECSArmBatBCircuitBraker	1	1			
SECS LOGIC 1 - on 							Panel 8	SECSLogic1Switch	1	1			
SECS LOGIC 2 - on							Panel 8	SECSLogic2Switch	1	1			
SECS PYRO ARM A - ARM	9270	MISSION_TIME					Panel 8	PyroArmASwitch	1	1			
SECS PYRO ARM B - ARM							Panel 8	PyroArmBSwitch	1	1			
Normal SC/Booster Separation 	9600	MISSION_TIME		CSM-LV Separation					-1	1	CSM-LV-Separation		
(Copy Maneuver PAD)	11100	MISSION_TIME		First Period of Activities					-1	1			
Perform Phasing Maneuver	11400	MISSION_TIME							-1	1	P47 Thrust Monitor Program		
Adjust ORDEAL	12600	MISSION_TIME							-1	1	ORDEAL Initialization		
													
ECS Redundant Component Check	14400	MISSION_TIME							-1	1	ECS Redundant Component Check		
PIPA Bias Test	16200	MISSION_TIME							-1	1	PIPA Bias Test		
EMS Bias Test									-1	1	EMS Bias Test		
Copy Maneuver PAD	17100	MISSION_TIME							-1	1			
State Vector Update									-1	1	P27 Auto Update		
Perform P30 - External DV	17700	MISSION_TIME							-1	1	P30 External DV		
Perform P52 IMU Realign (Preferred)	18600	MISSION_TIME							-1	1	P52 IMU Realign (Preferred)		
Perform P40 SPS Thrusting Check	20700	MISSION_TIME							-1	1	P40 SPS Thrusting Check		
Maneuver to Retro Attitude	21600	MISSION_TIME							-1	0			
Day Retro Test	22200	MISSION_TIME							-1	1			
H2 PURGE LINE HTR - ON	24300	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	1	1			
Night Retro Test	24600	MISSION_TIME							-1	1			
Perform Fuel Cell O2 Purging	25800	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Perform Fuel Cell H2 Purging									-1	1	Fuel Cell H2 Purging		
H2 PURGE LINE HTR - OFF	27300	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	0	1			
Copy Block Data 2	37800	MISSION_TIME							-1	1			
O2 Stratification Test	42600	MISSION_TIME							-1	1	O2 Stratification Test		
Perform P52 IMU Realign (REFSMMAT)	45600	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)		
Copy Maneuver PAD	51360	MISSION_TIME							-1	1			
Perform Phasing Maneuver (Fail if Scrubbed)	56520	MISSION_TIME							-1	1	P47 Thrust Monitor Program		
Waste Water Dump	74400	MISSION_TIME		Second Period of Activities					-1	1	Waste Water Dump		
Fuel Cell O2 Purging	75600	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Copy Block Data 3	78600	MISSION_TIME							-1	1			
Record Systems Data (Column 2)	79200	MISSION_TIME							-1	0			
Copy Maneuver PAD for NCC1	80700	MISSION_TIME							-1	1			
Uplink									-1	1	P27 Auto Update		
Perform P52 IMU Realign (Nominal) GET Align: 023:24:08	83100	MISSION_TIME							-1	1	P52 IMU Realign (Nominal)		
Adjust ORDEAL	86400	MISSION_TIME							-1	1	ORDEAL Initialization		
Perform P52 IMU Realign (REFSMMAT)	88550	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)		
Copy Maneuver PAD	91800	MISSION_TIME							-1	1			
Uplink									-1	1	P27 Auto Update		
Perform P30 - External DV	92000	MISSION_TIME							-1	1	P30 External DV		
Perform P52 IMU Realign (REFSMMAT)	92700	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)		
Perform P40 SPS Thrusting	94195	MISSION_TIME							-1	1	P40 SPS Thrusting		
Adjust ORDEAL	96900	MISSION_TIME							-1	1	ORDEAL Initialization		
Perform NCC2 (Fail if Scrubbed)	97200	MISSION_TIME							-1	1	NCC2		
Copy Maneuver PAD for NSR	99120	MISSION_TIME							-1	1			
Uplink									-1	1	P27 Auto Update		
Perform P30 - External DV	99300	MISSION_TIME							-1	1	P30 External DV		
Perform P40 SPS Thrusting	99895	MISSION_TIME							-1	1	P40 SPS Thrusting		
Initiate Battery Charge (BATT A)	100890	MISSION_TIME							-1	1	Battery Charge A		
Perform Rendezvous	100920	MISSION_TIME							-1	1	Rendezvous Procedures		
Copy Maneuver PAD	108540	MISSION_TIME							-1	1			
Perform Phasing Maneuver	108600	MISSION_TIME							1	1	P47 Thrust Monitor Program		
Copy Block Data 4	111240	MISSION_TIME							-1	1			
Perform ECS Redundant Component Check	118200	MISSION_TIME							-1	1	ECS Redundant Component Check		
Perform Fuel Cell O2 Purging	120600	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Perform State Vector Update	125100	MISSION_TIME							-1	1	P27 Auto Update		
Terminate Battery Charge	126000	MISSION_TIME							-1	1	Terminate Battery Charge		
Copy Block Data 5	141660	MISSION_TIME							-1	1			
Waste Water Dump	147600	MISSION_TIME							-1	1	Waste Water Dump		
Perform State Vector Update	158400	MISSION_TIME							-1	1	P27 Auto Update		
P20 RNDZ Navigation	160200	MISSION_TIME		Third Period of Activities					-1	1	P20 Rendezvous Navigation		
Record Systems Data (Column 3)	162000	MISSION_TIME							-1	0			
Fuel Cell O2 Purge	167400	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Attitude Hold Test	172800	MISSION_TIME							-1	1	Attitude Hold Test		
Copy Block Data 6	177120	MISSION_TIME							-1	1			
Fuel Cell O2 Purge	180000	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
State Vector Update	180900	MISSION_TIME							-1	1	P27 Auto Update		
Perform P52 IMU Realign (REFSMMAT)	186000	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)		
P20 RNDZ Navigation	187200	MISSION_TIME							-1	1	P20 Rendezvous Navigation		
G&N Power Down	196200	MISSION_TIME							-1	1	G&N Power Down		
H2 PURGE LINE HTR - ON	196800	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	1	1			
Fuel Cell H2 Purge	198000	MISSION_TIME							-1	1	Fuel Cell H2 Purging		
H2 PURGE LINE HTR - OFF	198900	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	0	1			
ECS Redundant Component Check	203400	MISSION_TIME							-1	1	ECS Redundant Component Check		
Copy Block Data 7	205440	MISSION_TIME							-1	1			
Fuel Cell O2 Purge	207600	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
G&N Power Up	243600	MISSION_TIME		Fourth Period of Activities					-1	1	G&N Power Up		
