Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
AC2 RSET - OFF							Panel 3	AcBus2ResetSwitch	0	1			
INV 2 - OFF								MnB2Switch	0	1			
INV 3 - MNB								MnA3Switch	0	1			
INV 2 AC2 - OFF								AcBus2Switch2	0	1			
INV 3 AC2 - on (up)								AcBus2Switch3	1	1			
AC2 RSET - RSET								AcBus2ResetSwitch	2	1			
"  MASTER ALARM pb/lt (3) - on, push"			"1,3,122"				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1			
"AC IND sel - BUS 1, ØA"					A-C Voltage Check			ACIndicatorRotary	0	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 1, ØB"								ACIndicatorRotary	1	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 1, ØC"								ACIndicatorRotary	2	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 2, ØA"								ACIndicatorRotary	3	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 2, ØB"								ACIndicatorRotary	4	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 2, ØC"								ACIndicatorRotary	5	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
AC2 RSET - OFF								AcBus2ResetSwitch	0	1			
INV 2 - MNB								MnB2Switch	1	1			
INV 1 AC2 - OFF								AcBus2Switch1	0	1			
INV 2 AC2 - on (up)								AcBus2Switch2	1	1			
AC2 RSET - RSET								AcBus2ResetSwitch	2	1			
"  MASTER ALARM pb/lt (3) - on, push"			"1,3,122"				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1			
"AC IND sel - BUS 1, ØA"					A-C Voltage Check			ACIndicatorRotary	0	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 1, ØB"								ACIndicatorRotary	1	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 1, ØC"								ACIndicatorRotary	2	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 2, ØA"								ACIndicatorRotary	3	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 2, ØB"								ACIndicatorRotary	4	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
"AC IND sel - BUS 2, ØC"								ACIndicatorRotary	5	1			
  AC VOLTS ind - 113-117 vac	5	HIDDEN_DELAY					"Check 113-117 volts, both busses, all three phases"		-1	1			
INV 3 AC2 - OFF								AcBus2Switch3	0	1			
INV 3 - OFF								MnA3Switch	1	1			
