Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Saturn DAP Activated				Initiate S-IVB Manual Control Test					-1	0			
"(V48E, Load 3 in first digit of R1)"									-1	1			
V46E								DSKY V 4 6 E	1	1			
AUTO RCS A/C ROLL A1 - OFF			8					AcRollA1Switch	1	1			
AUTO RCS A/C ROLL C1 - OFF								AcRollC1Switch	1	1			
AUTO RCS A/C ROLL A2 - OFF								AcRollA2Switch	1	1			
AUTO RCS A/C ROLL C2 - OFF								AcRollC2Switch	1	1			
AUTO RCS B/D ROLL B1 - OFF								BdRollB1Switch	1	1			
AUTO RCS B/D ROLL D1 - OFF								BdRollD1Switch	1	1			
AUTO RCS B/D ROLL B2 - OFF								BdRollB2Switch	1	1			
AUTO RCS B/D ROLL D2 - OFF								BdRollD2Switch	1	1			
AUTO RCS PITCH A3 - OFF								PitchA3Switch	1	1			
AUTO RCS PITCH C3 - OFF								PitchC3Switch	1	1			
AUTO RCS PITCH A4 - OFF								PitchA4Switch	1	1			
AUTO RCS PITCH C4 - OFF								PitchC4Switch	1	1			
AUTO RCS YAW B3 - OFF								YawB3Switch	1	1			
AUTO RCS YAW D3 - OFF								YawD3Switch	1	1			
AUTO RCS YAW B4 - OFF								YawB4Switch	1	1			
AUTO RCS YAW D4 - OFF								YawD4Switch	1	1			
LV GUID sw - CMC			2					LVGuidanceSwitch	0	1			
SC CONT - CMC								SCContSwitch	1	1			
Verify Control	30	LAST_ITEM_RELATIVE		Attitude Control Demonstration					-1	1			
Pitch down for 3 deg	10	LAST_ITEM_RELATIVE							-1	1			
"Stop Rate, Hold Att"	10	LAST_ITEM_RELATIVE							-1	1			
Pitch up for 12 deg	40	LAST_ITEM_RELATIVE							-1	1			
"Stop Rate, Hold Att"	10	LAST_ITEM_RELATIVE							-1	1			
Roll left for 5 deg	10	LAST_ITEM_RELATIVE							-1	1			
"Stop Rate, Hold Att"	10	LAST_ITEM_RELATIVE							-1	1			
Roll right for 5 deg	10	LAST_ITEM_RELATIVE							-1	1			
"Stop Rate, Hold Att"	10	LAST_ITEM_RELATIVE							-1	1			
Yaw left for 3 deg	10	LAST_ITEM_RELATIVE							-1	1			
"Stop Rate, Hold Att"	10	LAST_ITEM_RELATIVE							-1	1			
Yaw right for 3 deg	10	LAST_ITEM_RELATIVE							-1	1			
"Stop Rate, Hold Att"	10	LAST_ITEM_RELATIVE							-1	1			
LV GUID sw - IU (guarded)				End S-IVB Manual Control Test				LVGuidanceSwitch	1G	1			
LV GUID sw - SCS								SCContSwitch	0	1			
