Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
"CMC - on, IMU - on, SCS - on"									-1	1			
BMAG MODE ROLL - RATE 2			1					BMAGRollSwitch	2	1			
BMAG MODE PITCH - RATE 2								BMAGPitchSwitch	2	1			
BMAG MODE YAW - RATE 2								BMAGYawSwitch	2	1			
MAN ATT ROLL - MIN IMP								ManualAttRollSwitch	0	1			
MAN ATT PITCH - MIN IMP								ManualAttPitchSwitch	0	1			
MAN ATT YAW - MIN IMP								ManualAttYawSwitch	0	1			
Key V37E 53E			DSKY		Start program P53			DSKY V 3 7 E 5 3 E	1	1			
  F 50 25									-1	1			
  R1 00015 (Maneuver to acquire stars)									-1	1			
PRO								DSKY P	1	1			
" F 06 94 LOS Optics Angles Shaft, Trunnion (.01 deg, .001 deg)"					Load COAS angles				-1	1			
Load nominal COAS angles									-1	1			
V24E								DSKY V 2 4 E	1	1			
+00000E								DSKY + 0 0 0 0 0 E	1	1			
+57476E								DSKY + 5 7 4 7 6 E	1	1			
PRO								DSKY P	1	1			
 F 53 Please Mark					Mark Sequence 1				-1	1			
Center target in COAS									-1	0			
ENTR								DSKY E	1	1			
  F 50 25			DSKY						-1	1			
  R1 00016 Terminate Marks									-1	1			
PRO								DSKY P	1	1			
  F 01 71									-1	1			
  R1 000XX							XX is the selected star code		-1	1			
V21E								DSKY V 2 1 E	1	1			
Load desired code									-1	0			
PRO								DSKY P	1	1			
" F 06 94 LOS Optics Angles Shaft, Trunnion (.01 deg, .001 deg)"					Load COAS angles				-1	1			
PRO								DSKY P	1	1			
 F 53 Please Mark					Mark Sequence 2				-1	1			
Center target in COAS									-1	0			
ENTR								DSKY E	1	1			
  F 50 25			DSKY						-1	1			
  R1 00016 Terminate Marks									-1	1			
PRO								DSKY P	1	1			
  F 01 71									-1	1			
  R1 000XX							XX is the selected star code		-1	1			
V21E								DSKY V 2 1 E	1	1			
Load desired code									-1	0			
PRO								DSKY P	1	1			
  F 06 05					IMU orientation adjustment				-1	1			
  R1 XXX.XX DEG							The difference of the angle between the 2 stars and the angle to between the 2 marks to check the marking quality. Allowable limits are +00011 for the SCT and +00003 for the SXT. 		-1	1			
PRO							PRO to accept or key V32E to reject and bypass the next step.	DSKY P	1	1			
  F 37									-1	1			
00E								DSKY 0 0 E	1	1			
