Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
"CMC - on, IMU - on, SCS - on"					Initial Tracking Attitude				-1	1			
BMAG MODE ROLL - RATE 2			1					BMAGRollSwitch	2	1			
BMAG MODE PITCH - RATE 2								BMAGPitchSwitch	2	1			
BMAG MODE YAW - RATE 2								BMAGYawSwitch	2	1			
OPT ZERO - ZERO (verify)			122					OpticsZeroSwitch	1	1			
Key V37E 20E			DSKY					DSKY V 3 7 E 2 0 E	1	1			
SC CONT - CMC			1					SCContSwitch	1	1			
CMC MODE - AUTO								CMCModeSwitch	2	1			
 F 50 18									-1	1			
PRO	10	HIDDEN_DELAY	DSKY					DSKY P	1	1			
 06 18									-1	1			
(Auto Maneuver)	220	HIDDEN_DELAY							-1	1			
 F 50 18									-1	1			
ENTR					Final Tracking Attitude			DSKY E	1	1			
 F 50 18									-1	1			
PRO	10	HIDDEN_DELAY						DSKY P	1	1			
  06 18									-1	1			
(Auto Maneuver)	60	HIDDEN_DELAY							-1	1			
 F 50 18									-1	1			
ENTR (Clears DSKY)								DSKY E	1	1			
OPT ZERO - OFF								OpticsZeroSwitch	0	1			
OPT MODE - CMC			122					OpticsModeSwitch	1	1			
Key V37E 34E	10	HIDDEN_DELAY	DSKY		Start Program 34			DSKY V 3 7 E 3 4 E	1	1			
 F 06 37									-1	1			
 TIG (TPI)									-1	1			
 F 50 18	1	HIDDEN_DELAY							-1	1			
ENTR	5	HIDDEN_DELAY						DSKY E	1	1			
Key V25E								DSKY V 2 5 E	1	1			
Initial Guess: 29:23:00 GET	5	HIDDEN_DELAY							-1	1			
Key +00029E								DSKY + 0 0 0 2 9 E	1	1			
Key +00023E								DSKY + 0 0 0 2 3 E	1	1			
Key +00000E								DSKY + 0 0 0 0 0 E	1	1			
PRO	10	HIDDEN_DELAY						DSKY P 	1	1			
 F 06 55									-1	1			
 R2 ELEV ANGLE (027.45 deg)									-1	1			
 R3 OMEGAT (140.00 deg)									-1	1			
Key V22E								DSKY V 2 2 E	1	1			
Key +02745E								DSKY + 0 2 7 4 5 E	1	1			
Key V23E	2	HIDDEN_DELAY						DSKY V 2 3 E	1	1			
Key +14000E								DSKY + 1 4 0 0 0 E	1	1			
PRO	5	HIDDEN_DELAY						DSKY P	1	1			
 F 16 45									-1	1			
Key V57E	10	HIDDEN_DELAY			First Marking Sequence			DSKY V 5 7 E	1	1			
OPT MODE - MAN			122					OpticsModeSwitch	0	1			
  F 51			DSKY						-1	1			
Center target in SCT			SCT					OpticsHandcontrollerSwitch	-1	0			
OPT SPEED - LO			122					ControllerSpeedSwitch	0	1			
Center target in SXT			SXT		1st Mark			OpticsHandcontrollerSwitch	-1	0			
MARK								OpticsMarkButton	1	1			
"(1st Mark, no error calc.)"	60	HIDDEN_DELAY							-1	1			
  F 51			DSKY						-1	1			
Center target in SXT			SXT		2nd Mark			OpticsHandcontrollerSwitch	-1	0			
MARK								OpticsMarkButton	1	1			
(Mark is processed)	25	HIDDEN_DELAY							-1	1			
 F 06 49									-1	1			
PRO (Accept Mark)								DSKY P	1	1			
(Marks 1 minute apart)	30	HIDDEN_DELAY							-1	1			
