Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Vehicle Preparation complete									-1	1			
P30 External DV									-1	1	P30 External DV		
EMS FUNC - DV SET/VHF RNG			1					EMSFunctionSwitch	2	1			
Set dVC (from Maneuver PAD)								EMSDvDisplay	-1	0			
EMS FUNC - DV								EMSFunctionSwitch	1	1			
PRIM GLY TO RAD - BYP (pull)				Separation Ck List			Panel 325	GlycolToRadiatorsLever	0	1			
REPRESS PKG vlv - on			326					OxygenRepressPackageRotary	2	1			
SM SUPPLY vlv - off								OxygenSMSupplyRotary	0	1			
SRG TK O2 vlv - ON								OxygenSurgeTankRotary	1	1			
CAB PRESS RELF vlv (LH) - NORM			325					CabinPressureReliefLever1	1	1			
CAB PRESS RELF vlv (RH) - NORM								CabinPressureReliefLever2	1	1			
cb ELS BAT A - close (verify)								ELSBatACircuitBraker	1	1			
cb ELS BAT B - close (verify)								ELSBatBCircuitBraker	1	1			
cb SECS LOGIC A BAT A - close (verify)								SECSLogicBatACircuitBraker	1	1			
cb SECS LOGIC B BAT B - close (verify)								SECSLogicBatBCircuitBraker	1	1			
cb SECS ARM A BAT A - close (verify)								SECSArmBatACircuitBraker	1	1			
cb SECS ARM B BAT B - close (verify)								SECSArmBatBCircuitBraker	1	1			
RHC PWR NORM 1 - AC/DC								RotPowerNormal1Switch	2	1			
RHC PWR NORM 2 - AC/DC								RotPowerNormal2Switch	2	1			
SM RCS SEC FUEL PRESS A - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp2ASwitch	2	1			
SM RCS SEC FUEL PRESS B - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp2BSwitch	2	1			
SM RCS SEC FUEL PRESS C - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp2CSwitch	2	1			
SM RCS SEC FUEL PRESS D - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp2DSwitch	2	1			
AUTO RCS A/C ROLL A1 - OFF (verify)				CM RCS Check			Panel 8	AcRollA1Switch	1	1			
AUTO RCS A/C ROLL C1 - OFF (verify)							Panel 8	AcRollC1Switch	1	1			
AUTO RCS A/C ROLL A2 - OFF (verify)							Panel 8	AcRollA2Switch	1	1			
AUTO RCS A/C ROLL C2 - OFF (verify)							Panel 8	AcRollC2Switch	1	1			
cb RCS LOGIC MNA - close (verify)								RCSLogicMnACircuitBraker	1	1			
cb RCS LOGIC MNB - close (verify)								RCSLogicMnBCircuitBraker	1	1			
SC CONT - SCS								SCContSwitch	0	1			
MAN ATT ROLL - MIN IMP								ManualAttRollSwitch	0	1			
MAN ATT PITCH - MIN IMP								ManualAttPitchSwitch	0	1			
MAN ATT YAW - MIN IMP								ManualAttYawSwitch	0	1			
RCS TRNFR - CM							"Panel 2, RCS Switches"	RCSTrnfrSwitch	2	1			
AUTO RCS B/D ROLL B1 - OFF					Test Ring 2 Thrusters		Panel 8	BdRollB1Switch	1	1			
AUTO RCS B/D ROLL D1 - MNB							Panel 8	BdRollD1Switch	0	1			
AUTO RCS B/D ROLL B2 - OFF							Panel 8	BdRollB2Switch	1	1			
AUTO RCS B/D ROLL D2 - MNB							Panel 8	BdRollD2Switch	0	1			
AUTO RCS PITCH A3 - MNB							Panel 8	PitchA3Switch	0	1			
AUTO RCS PITCH C3 - OFF							Panel 8	PitchC3Switch	1	1			
AUTO RCS PITCH A4 - OFF							Panel 8	PitchA4Switch	1	1			
