Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
SECS PYRO ARM A - on (up)							Panel 8	PyroArmASwitch	1	1			
SECS PYRO ARM B - on (up)							Panel 8	PyroArmBSwitch	1	1			
ELS LOGIC - on							Panel 1	ELSLogicSwitch	1	1			
ELS AUTO - auto							Panel 1	ELSAutoSwitch	1	1			
													
EMS FUNC - off	27	CHECKLIST_RELATIVE			"24,000 ft"		"Panel 1, EMS"	EMSFunctionSwitch	0	1			
SEC COOL LOOP EVAP - off			2					SecCoolantLoopEvapSwitch	1	1			
GLY EVAP H2O FLOW - off								GlycolEvapH2oFlowSwitch	1	1			
													
MAIN DEPLOY PB - push (within 1 sec)	86	CHECKLIST_RELATIVE	1		"10,000 ft"			MainDeploySwitch	1	1			
SEC COOL LOOP EVAP - reset (45 sec)			2					SecCoolantLoopEvapSwitch	0	1			
SEC COOL LOOP EVAP - off	45	HIDDEN_DELAY						SecCoolantLoopEvapSwitch	1	1			
GLY EVAP STM PRESS AUTO - man								GlycolEvapSteamPressAutoManSwitch	0	1			
GLY EVAP STM PRESS INCR - incr (45 sec)								GlycolEvapSteamPressIncrDecrSwitch	2	1			
VHF ANT - RECY	45	HIDDEN_DELAY	3					VHFAntennaRotarySwitch	0	1			
VHF AM A - simplex								VHFAMASwitch	0	1			
VHF AM B - simplex								VHFAMBSwitch	0	1			
VHF BCN - on			15					VHFBeaconSwitch	1	1			
PRO								DSKY P	1	1			
00E								DSKY 0 0 E	1	1			
													
CM RCS LOGIC - on (up)			1					CMRCSLogicSwitch	1	1			
CM PRPLNT DUMP - on (up)								CMPropDumpSwitch	1	1			
RCS IND sel - CM 1							"Panel 2, RCS Switches"	RCSIndicatorsSwitch	0	1			
  CM RCS PRESS HE IND - decreasing	5	HIDDEN_DELAY							-1	1			
RCS IND sel - CM 2								RCSIndicatorsSwitch	1	1			
  CM RCS PRESS HE IND - decreasing	5	HIDDEN_DELAY							-1	1			
CM PRPLNT PURGE - on (up)								CMPropPurgeSwitch	1	1			
"MASTER ALARM pb/lt (3) - on, push"	1	HIDDEN_DELAY	"1,3,122"				"Panel 1,3,122 Master Alarm"	MasterAlarmSwitch	1	1			
CM RCS HE DUMP PB - push								CmRcsHeDumpSwitch	1	1			
													
cb FLT/PL BAT BUS A - close			275					FlightPostLandingBatBusACircuitBraker	1	1			
cb FLT/PL BAT BUS B - close								FlightPostLandingBatBusBCircuitBraker	1	1			
cb FLT/PL BAT C - close								FlightPostLandingBatCCircuitBraker	1	1			
cb FLT/PL MNA - open								FlightPostLandingMainACircuitBraker	0	1			
cb FLT/PL MNB - open								FlightPostLandingMainBCircuitBraker	0	1			
													
cb RAD HTRS OVLD BAT A - open			5					HTRSOVLDBatACircuitBraker	0	1			
cb RAD HTRS OVLD BAT B - open								HTRSOVLDBatBCircuitBraker	0	1			
cb SPS PITCH 1 BAT A - open			8					PitchBatACircuitBraker	0	1			
cb SPS PITCH 2 BAT B - open								PitchBatBCircuitBraker	0	1			
cb SPS YAW 1 BAT A - open								YawBatACircuitBraker	0	1			
cb SPS YAW 2 BAT B - open								YawBatBCircuitBraker	0	1			
													
CAB PRESS RELF vlv (RH) - DUMP	332	CHECKLIST_RELATIVE	325		"3,000 ft"			CabinPressureReliefLever2	3	1			
FLLOD FIXED - POST LDG			8					FloodFixedSwitch	0	1			
													
CAB PRESS RELF vlv (LH) - closed	409	CHECKLIST_RELATIVE	325		800 ft			CabinPressureReliefLever1	0	1			
