Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Key V67E			DSKY		Reinitialize Cislunar W-Matrix			DSKY V 6 7 E	1	1			
V25E								DSKY V 2 5 E	1	1			
R1 +00094E								DSKY + 0 0 0 9 4 E	1	1			
R2 +00057E								DSKY + 0 0 0 5 7 E	1	1			
R3 +00003E								DSKY + 0 0 0 0 3 E	1	1			
PRO								DSKY P	1	1			
V93E								DSKY V 9 3 E	1	1			
													
G/N OPT PWR - on (up)			100					GNPowerOpticsSwitch	1	1			
													
Perform P52 IMU Realign (REFSMMAT)	14400	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)		
Perform GDC Alignment to IMU	15300	MISSION_TIME							-1	1	GDC Alignment to IMU		
Perform P23 Cislunar Navigation (STAR 14 ENH)	15600	MISSION_TIME							-1	1	P23 Cislunar Navigation		
Perform P23 Cislunar Navigation (STAR 15 EFH)	16500	MISSION_TIME							-1	1	P23 Cislunar Navigation		
Perform P23 Cislunar Navigation (STAR 16 EFH)	17400	MISSION_TIME							-1	1	P23 Cislunar Navigation		
Copy TLI+11 Maneuver PAD	18000	MISSION_TIME		MCC Update					-1	0			
P21 Ground Track Determination (LOI 69:10:00)									-1	1	P21 Ground Track Determination		
Begin PTC P331 Y331	19200	MISSION_TIME							-1	1	Start PTC		
Terminate PTC	27300	MISSION_TIME							-1	1	Terminate PTC		
Open cool cont atten pnl								Panel382Cover	1	1			
  EVAP H2O CONT SEC - OFF								EvapWaterControlSecondaryRotary	0	1			
Close cool cont atten pnl								Panel382Cover	0	1			
WASTE STOW vlv - CLOSE								WasteMGMTStoageVentRotary	1	1			
													
MCC-1 (click PRO or click FAIL if scrubbed)	18000	TLI_DONE							-1	0	MCC-1	MCC-1 Scrubbed	
Maneuver Spacecraft to Sighting Attitude									-1	0			
													
Fuel Cell O2 Purging	32400	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Perform P23 Cislunar Navigation (STAR 15 ELDMK 10)	33000	MISSION_TIME							-1	1	P23 Cislunar Navigation		
Perform P23 Cislunar Navigation (STAR 16 ELDMK 10)	33900	MISSION_TIME							-1	1	P23 Cislunar Navigation		
P21 Ground Track Determination (LOI 69:10:00)	34800	MISSION_TIME							-1	1	P21 Ground Track Determination		
Begin PTC P331 Y331	35400	MISSION_TIME							-1	1	Start PTC		
Copy TLI+25 Maneuver PAD	32400	TLI_DONE		MCC Update					-1	0			
													
Terminate PTC	59400	MISSION_TIME							-1	1	Terminate PTC		
Perform P52 IMU Realign (REFSMMAT)									-1	1	P52 IMU Realign (REFSMMAT)		
