Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
EMER CAB PRESS sel - OFF				Cabin Depress				EmergencyCabinPressureRotary	3	1			
CAB REPRESS vlv - OFF (CCW)								CabinRepressValveRotary	0	1			
SUIT RETURN vlv - close (push)								SuitCircuitReturnValveLever	1	1			
CAB FAN 1 - OFF							"Panel 2, ECS switches"	CabinFan1Switch	0	1			
CAB FAN 2 - OFF							"Panel 2, ECS switches"	CabinFan2Switch	0	1			
DIRECT O2 vlv - CLOSE (CW)			7					DirectO2RotarySwitch	6	1			
CAB PRESS RELF vlv (LH) - NORM			325	Cabin Repress				CabinPressureReliefLever1	1	1			
CAB PRESS RELF vlv (RH) - NORM								CabinPressureReliefLever2	1	1			
Side Hatch Dump - OPEN								HatchVentValveRotary	0	1			
Cabin Press - 3.25 psia									-1	0			
Side Hatch Dump - CLOSE								HatchVentValveRotary	7	1			
Verify O2 Flow Ind Approx 0.24 lb/hr									-1	1			
Verify Cabin Press 3.5-4.0 psia									-1	1			
Side Hatch Dump - OPEN								HatchVentValveRotary	0	1			
Cabin Press Ind - 0.0 psia									-1	0			
													
													
													
													
													
													
													
													
													
													
													
													
