Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks	
V49E					Maneuver to desired attitude			DSKY V 4 9 E	1	1				
V25E								DSKY V 2 5 E	1	1				
Input PAD Attitude									-1	0				
CMC MODE - AUTO								CMCModeSwitch	2	1				
PRO	2	HIDDEN_DELAY						DSKY P	1	1				
PRO	2	HIDDEN_DELAY						DSKY P	1	1				
 F 50 18									-1	0				
ENTER								DSKY E	1	1				
														
V48E			DSKY		Disable B/D Quads			DSKY V 4 8 E	1	1				
V22E								DSKY V 2 2 E	1	1				
11010E								DSKY 1 1 0 1 0 E	1	1				
PRO								DSKY P	1	1				
PRO	2	HIDDEN_DELAY						DSKY P	1	1				
PRO	2	HIDDEN_DELAY						DSKY P	1	1				
V46E								DSKY V 4 6 E	1	1				
														
V21 N01E			DSKY		Set HOLD FLG zero			DSKY V 2 1 N 0 1 E	1	1				
1013E								DSKY 1 0 1 3 E	1	1				
ENTER								DSKY E	1	1				
														
V24 N01E			DSKY					DSKY V 2 4 N 0 1 E	1	1				
3127E								DSKY 3 1 2 7 E	1	1				
00002E					VVVVV			DSKY 0 0 0 0 2 E	1	1				
14175E					WWWWW			DSKY 1 4 1 7 5 E	1	1				
														
V24E								DSKY V 2 4 E	1	1				
3131E								DSKY 3 1 3 1 E	1	1				
00000E					XXXXX			DSKY 0 0 0 0 0 E	1	1				
11546E					YYYYY			DSKY 1 1 5 4 6 E	1	1				
														
V21E								DSKY V 2 1 E	1	1				
3200E								DSKY 3 2 0 0 E	1	1				
54621E					ZZZZZ			DSKY 5 4 6 2 1 E	1	1				
														
V21 N01E			DSKY		Set HOLD FLG negative			DSKY V 2 1 N 0 1 E	1	1				
1332E								DSKY 1 3 3 2 E	1	1				
70000								DSKY 7 0 0 0 0	1	1				
Wait for time to begin orb rate									-1	0				
E					Initiate Maneuver			DSKY E	1	1				
