Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
V49E				Maneuver to EVA Attitude				DSKY V 4 9 E	1	1			
V25E								DSKY V 2 5 E	1	1			
+00000E								DSKY + 0 0 0 0 0 E	1	1			
+00000E								DSKY + 0 0 0 0 0 E	1	1			
+00000E								DSKY + 0 0 0 0 0 E	1	1			
SC CONT - CMC								SCContSwitch	1	1			
CMC MODE - AUTO								CMCModeSwitch	2	1			
PRO	2	HIDDEN_DELAY						DSKY P	1	1			
PRO	2	HIDDEN_DELAY						DSKY P	1	1			
Proceed After Maneuver Completion									-1	0			
ENTER								DSKY E	1	1			
V48E					Load DAP			DSKY V 4 8 E	1	1			
V24E								DSKY V 2 4 E	1	1			
21112E								DSKY 2 1 1 1 2 E	1	1			
00011E					Disable Quads A & B			DSKY 0 0 0 1 1 E	1	1			
PRO	2	HIDDEN_DELAY						DSKY P	1	1			
PRO	2	HIDDEN_DELAY						DSKY P	1	1			
PRO	2	HIDDEN_DELAY						DSKY P	1	1			
V46E								DSKY V 4 6 E	1	1			
CMC MODE - HOLD								CMCModeSwitch	1	1			
Switch to LM									-1	0			
													
Mount Seq Camera on Hatch									-1	1			
Verify Camera Operation									-1	1			
Verify Repress Bottles									-1	1			
Verify Surge Tank									-1	1			
Exterior Lts On								RunEVALightSwitch	1	1			
Anti-Fog Helmets									-1	1			
Don Helmet/Gloves									-1	1			
													
Perform PGA Integrity Check									-1	1	PGA Integrity Check		
LM TUNL VENT vlv - LM/CM dP	30	HIDDEN_DELAY		Verify Tunnel Depressed				LMTunnelVentValve	2	1			
Check dP									-1	0			
Switch to LM									-1	0			
													
Perform Cabin Depress	262800	MISSION_TIME							-1	1	Cabin Depress		
Gear box sel - UNLATCH				Open Side Hatch			Side Hatch	HatchGearBoxSelector	0	1			
Actr handle sel - U (unlatch)							Side Hatch	HatchActuatorHandleSelector	0	1			
Actr handle - opr (click to open)							Side Hatch	HatchToggle	1	1			
Actr handle sel - N (neutral)							Side Hatch	HatchActuatorHandleSelector	1	1			
Switch to LM									-1	0			
													
EXT RUN/EVA LTS - ON	266520	MISSION_TIME					Panel 2	RunEVALightSwitch	1	1			
EXT RNDZ LTS - SPOT							Panel 2	RndzLightSwitch	0	1			
Switch to LM									-1	0			
													
EXT RUN/EVA LTS - OFF	267120	MISSION_TIME					Panel 2	RunEVALightSwitch	0	1			
Switch to LM									-1	0			
													
EXT RNDZ LTS - OFF (ctr)	267420	MISSION_TIME					Panel 2	RndzLightSwitch	1	1			
Switch to LM									-1	0			
													
EXT RUN/EVA LTS - ON	268020	MISSION_TIME					Panel 2	RunEVALightSwitch	1	1			
Switch to LM									-1	0			
													
"Wait For ""GO"" To Repress From LM"				Close Side Hatch					-1	0			
Actr handle sel - L (latch)							Side Hatch	HatchActuatorHandleSelectorOpen	2	1			
Actr handle - opr (click to close)							Side Hatch	HatchToggle	1	1			
Gear box sel - LATCH							Side Hatch	HatchGearBoxSelector	2	1			
Actr handle sel - N (neutral)							Side Hatch	HatchActuatorHandleSelector	1	1			
													
CAB PRESS RELF vlv (LH) - NORM			325	Cabin Repress				CabinPressureReliefLever1	1	1			
CAB PRESS RELF vlv (RH) - NORM								CabinPressureReliefLever2	1	1			
O2 PRESS IND sw - SURGE TK								O2PressIndSwitch	0	1			
  Monitor Surge Tank Press									-1	1			
REPRESS PKG vlv - FILL			326					OxygenRepressPackageRotary	0	1			
(Display panel 600-602)			Side Hatch					Panel600	1	1			
REPRESS O2 - OPEN			601					HatchRepressO2ValveSwitch	2	1			
