Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks						
Report Estimated Distance From SIVB									-1	0									
SIVB Maneuver to LVLH 	15900	MISSION_TIME							-1	0									
																			
First SIVB Restart	17141	MISSION_TIME							-1	0									
SPS-1	17400	MISSION_TIME							-1	1	SPS-1								
																			
Second SIVB Restart	22024	MISSION_TIME							-1	0									
Copy Daylight Star Check PAD	22500	MISSION_TIME		MCC Update					-1	0									
Initiate Battery Charge (BATT B)	22800	MISSION_TIME							-1	1	Battery Charge B								
SIVB LOX & LH2 Dumps Completed	24130	MISSION_TIME							-1	0									
Daylight Star Check	24600	MISSION_TIME							-1	1	Daylight Star Check								
																			
State Vector Update	26400	MISSION_TIME		MCC Update					-1	0	P27 Update								
V66E	2	HIDDEN_DELAY					Set CSM state vector into LM state vector	DSKY V 6 6 E	1	1									
Perform P21 With Nav Check PAD									-1	1	P21 Ground Track Determination								
																			
BAT VENT vlv - OPEN	28200	MISSION_TIME			Vent Batteries			WasteMGMTBatteryVentRotary	1	1									
BAT VENT vlv - CLOSE	5	LAST_ITEM_RELATIVE						WasteMGMTBatteryVentRotary	0	1									
																			
Verify SURGE TK PRESS ind & REPRESS O2 PRESS ind - 865-935 psia					Terminate Repress Pkg Fill				-1	0									
REPRESS PKG vlv - OFF								OxygenRepressPackageRotary	1	1									
																			
WASTE STOW vlv - CLOSE					Terminate Cabin Purge			WasteMGMTStoageVentRotary	1	1									
H2 PURGE LINE HTR - ON	29700	MISSION_TIME						H2PurgeLineSwitch	1	1									
P52 IMU Realign (REFSMMAT)	30000	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)								
Perform GDC Alignment to IMU									-1	1	GDC Alignment to IMU								
Copy Block Data 2	30420	MISSION_TIME		MCC Update					-1	0									
Perform Fuel Cell H2 Purging	30900	MISSION_TIME							-1	1	Fuel Cell H2 Purging								
Perform Fuel Cell O2 Purging									-1	1	Fuel Cell O2 Purging								
H2 PURGE LINE HTR - OFF							"Panel 3, Lower Left"	H2PurgeLineSwitch	0	1									
																			
6-4 Deorbit TIG	31985	MISSION_TIME							-1	0									
G&N Power Down	32100	MISSION_TIME							-1	1	G&N Power Down								
CMC Standby (P06)									-1	1	CMC Standby								
Perform Waste Water Dump									-1	1	Waste Water Dump								
Rest Period Begins	32400	MISSION_TIME							-1	0									
																			
Rest Period Ends	66900	MISSION_TIME		Day 2					-1	0									
Terminate Battery Charge									-1	1	Terminate Battery Charge								
CMC Power Up	67800	MISSION_TIME							-1	1	CMC Power Up								
G&N Power Up									-1	1	G&N Power Up								
Copy Block Data 3	69300	MISSION_TIME		MCC Update					-1	0									
Perform Fuel Cell O2 Purging	69600	MISSION_TIME							-1	1	Fuel Cell O2 Purging								
Damp Rates	70800	MISSION_TIME							-1	0									
P51 IMU Orientation	71100	MISSION_TIME							-1	1	P51 IMU Orientation								
																			
SPS-2	74220	MISSION_TIME							-1	1	SPS-2								
Copy SPS-3 Gimbal Angles	80700	MISSION_TIME							-1	0									
																			
SPS-3	86100	MISSION_TIME							-1	1	SPS-3								
Copy SPS-4 Gimbal Angles	91800	MISSION_TIME							-1	0									
																			
SPS-4	96600	MISSION_TIME							-1	1	SPS-4								
Initiate Battery Charge (BATT A)	103200	MISSION_TIME							-1	1	Battery Charge A								
																			
"Copy Block Data 4, state vector update"	103800	MISSION_TIME		MCC Update					-1	0									
Uplink									-1	1	P27 Update								
Nav Check									-1	1	P21 Ground Track Determination								
V66E	2	HIDDEN_DELAY					Set CSM state vector into LM state vector	DSKY V 6 6 E	1	1									
G&N Power Down									-1	1	G&N Power Down								
CMC Standby (P06)									-1	1	CMC Standby								
Perform Fuel Cell O2 Purging	107100	MISSION_TIME							-1	1	Fuel Cell O2 Purging								
Perform Waste Water Dump									-1	1	Waste Water Dump								
Rest Period Begins	108000	MISSION_TIME							-1	0									
																			
Rest Period Ends	141900	MISSION_TIME		Day 3					-1	0									
LM TUNL VENT vlv - LM/CM dP			12	Verify Tunnel Pressure				LMTunnelVentValve	2	1									
