Name	Time	Deadline	Relative Event	Heading	Automatic	Manual	Essential	Sound	Slow	Custom Filename
Flightplan	15300	10	MISSION_TIME	Flightplan	1	1	0		0	
Startup Checklist	0	10	BACKUP_CREW_PRELAUNCH	Launch Checklists	1	1	0		0	
Backup Crew Prelaunch Checklist	0	10	BACKUP_CREW_PRELAUNCH		1	1	0		0	
Prime Crew Prelaunch Checklist	0	10	PRIME_CREW_PRELAUNCH		1	1	0		0	
Launch Checklist	-1200	10	MISSION_TIME		1	1	0		0	
										
Insertion Checklist	0	10	EARTH_ORBIT_INSERTION	Insertion Checklist	1	1	0		0	
										
CSM-LV-Separation	6600	10	MISSION_TIME	SIVB Separation Checklists	1	1	0		0	
										
LM Ejection	14400	10	MISSION_TIME	LM Ejection	1	1	0		0	
										
Deorbit Preparations	0	10		Entry/Landing Checklists	1	1	0		0	
SPS Deorbit	0	10			1	1	0		0	
Splashdown	0	10	SPLASHDOWN		1	1	0		0	
										
G&N Power Up	0	10		G&C System Management	1	1	0		0	
G&N Power Down	0	10			1	1	0		0	
IMU Power Up	0	10			1	1	0		0	
IMU Power Down	0	10			1	1	0		0	
SCS Power Up	0	10			1	1	0		0	
SCS Power Down	0	10			1	1	0		0	
OSS Power Up	0	10			1	1	0		0	
OSS Power Down	0	10			1	1	0		0	
CMC Standby	0	10			1	1	0		0	
CMC Power Up	0	10			1	1	0		0	
	0	10			1	1	0		0	
	0	10			1	1	0		0	
										
										
State Vector Update	0	10		G&C General Procedures	1	1	0		0	
P27 Update	0	10			1	1	0		0	
CMC Clock Update	0	10			1	1	0		0	
GDC Alignment to IMU	0	10			1	1	0		0	
SCS Attitude Ref Comp Check	0	10			1	1	0		0	
ORDEAL Initialization	0	10			1	1	0		0	
EMS DV Test	0	10			1	1	0		0	
Start SCS PTC	0	10			1	1	0		0	
Terminate SCS PTC	0	10			1	1	0		0	
Start G&N PTC	0	10			1	1	0		0	
Terminate G&N PTC	0	10			1	1	0		0	
LGC Clock Sync & TEPHEM Update	0	10			1	1	0		0	
DAP Orbital Rate	0	10			1	1	0		0	
DAP Orbital Rate (Retrograde)	0	10			1	1	0		0	
P76 Target dV	0	10			1	1	0		0	
PIPA Bias Check	0	10			1	1	0		0	
	0	10			1	1	0		0	
	0	10			1	1	0		0	
										
C&WS Operational Check	0	10		Systems Management	1	1	0		0	
SM RCS Monitoring Check	0	10			1	1	0		0	
CM RCS Monitoring Check	0	10			1	1	0		0	
EPS Monitoring Check	0	10			1	1	0		0	
ECS Monitoring Check	0	10			1	1	0		0	
SPS Monitoring Check	0	10			1	1	0		0	
ECS Redundant Component Check	0	10			1	1	0		0	
Cycle Cryo Fans	0	10			1	1	0		0	
Fuel Cell O2 Purging	0	10			1	1	0		0	
Fuel Cell H2 Purging	0	10			1	1	0		0	
Waste Water Dump	0	10			1	1	0		0	
Battery Charge A	0	10			1	1	0		0	
Battery Charge B	0	10			1	1	0		0	
Battery Charge C	0	10			1	1	0		0	
Terminate Battery Charge	0	10			1	1	0		0	
Activate Primary Evaporator	0	10			1	1	0		0	
Deactivate Primary Evaporator	0	10			1	1	0		0	
Activate Secondary Evaporator	0	10			1	1	0		0	
Deactivate Secondary Evaporator	0	10			1	1	0		0	
Activate Cabin Cold Soak	0	10			1	1	0		0	
PGA Integrity Check	0	10			1	1	0		0	
Cabin Depress	0	10			1	1	0		0	
RR Xpdr Self Test	0	10			1	1	0		0	
Transfer to LM PWR	0	10			1	1	0		0	
Transfer LM to CSM PWR	0	10			1	1	0		0	
CMC Self Check	0	10			1	1	0		0	
DSKY Condition Lights Test	0	10			1	1	0		0	
LM Pressure Equalization dP<2.4	0	10			1	1	0		0	LM Pressure EQ dP under 2.4.tsv
LM Pressure Equalization dP>2.4	0	10			1	1	0		0	LM Pressure EQ dP over 2.4.tsv
LMP DON PGA	0	10			1	1	0		0	
CDR DON PGA	0	10			1	1	0		0	
CMP DON PGA	0	10			1	1	0		0	
LMP DOFF PGA	0	10			1	1	0		0	
CDR DOFF PGA	0	10			1	1	0		0	
CMP DOFF PGA	0	10			1	1	0		0	
CDR IVT To LM	0	10			1	1	0		0	
LMP IVT To LM	0	10			1	1	0		0	
LMP To LM ECS	0	10			1	1	0		0	
CDR To LM ECS	0	10			1	1	0		0	
LMP To CSM ECS	0	10			1	1	0		0	
CDR To CSM ECS	0	10			1	1	0		0	
FWD Hatch Integrity Check	0	10			1	1	0		0	
	0	10			1	1	0		0	
	0	10			1	1	0		0	
										
P20 Rendezvous Navigation	0	10		Navigation	1	1	0		0	
P21 Ground Track Determination	0	10			1	1	0		0	
P22 Auto Optics	0	10			1	1	0		0	
P23 Cislunar Navigation	0	10			1	1	0		0	
P23 Cislunar Navigation (Bad)	0	10			1	1	0		0	
	0	10			1	1	0		0	
	0	10			1	1	0		0	
										
										
P30 External DV	0	10		Prethrust	1	1	0		0	
P37 Return to Earth	0	10			1	1	0		0	
P37 Return to Earth -MA	0	10			1	1	0		0	
	0	10			1	1	0		0	
	0	10			1	1	0		0	
										
P40 SPS Thrusting	0	10		Thrusting	1	1	0		0	
SPS Thrust 40% Stroking	0	10			1	1	0		0	
SPS Thrust Full Stroking & MTVC	0	10			1	1	0		0	
P41 RCS Thrusting	0	10			1	1	0		0	
	0	10			1	1	0		0	
	0	10			1	1	0		0	
										
P51 IMU Orientation	0	10		Alignments	1	1	0		0	
P51 IMU Orientation (Bad Angle)	0	10			1	1	0		0	
P52 IMU Alignment Check	0	10			1	1	0		0	
P52 IMU Realign (Preferred)	0	10			1	1	0		0	
P52 IMU Realign (Nominal)	0	10			1	1	0		0	
P52 IMU Realign (REFSMMAT)	0	10			1	1	0		0	
P52 IMU Realign (Bad Angle)	0	10			1	1	0		0	
Daylight Star Check	0	10			1	1	0		0	
	0	10			1	1	0		0	
	0	10			1	1	0		0	
										
SPS-1	0	10		Mission Specific Procedures	1	1	0		0	
SPS-2	0	10			1	1	0		0	
SPS-3	0	10			1	1	0		0	
SPS-4	0	10			1	1	0		0	
Docked DPS Burn	0	10			1	1	0		0	
SPS-5	0	10			1	1	0		0	
EVA	0	10			1	1	0		0	
Undocking	0	10			1	1	0		0	
SM RCS Separation Burn	0	10			1	1	0		0	
LM Active Docking	0	10			1	1	0		0	
LM Jettison	0	10			1	1	0		0	
SPS-6	0	10			1	1	0		0	
Landmark Tracking	0	10			1	1	0		0	
SPS-7	0	10			1	1	0		0	
Start HGA Test (Orb Rate)	0	10			1	1	0		0	
PTC Test 1	0	10			1	1	0		0	
PTC Test 2	0	10			1	1	0		0	
LM Ascent Stage Tracking	0	10			1	1	0		0	
	0	10			1	1	0		0	
	0	10			1	1	0		0	
