Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
O2 PRESS IND sw - SURGE TK				CM/LM Pressure Equalization				O2PressIndSwitch	0	1			
  Verify CRYO O2 PRESS 1 ind - 865-935 psia									-1	1			
EMER CAB PRESS sel - OFF (verify)								EmergencyCabinPressureRotary	3	1			
REPRESS PKG vlv - OFF								OxygenRepressPackageRotary	1	1			
DIRECT O2 vlv - close (CW)			7					DirectO2RotarySwitch	6	1			
PRESS EQUAL vlv - OPEN			Fwd Hatch					PressEqualValve	0	1			
TUNL VENT vlv - LM/CM dP			12					LMTunnelVentValve	2	1			
  LM/CM dP ind  =0.0 psia									-1	0			
  CAB PRESS ind =5.0 psia									-1	0			
EMER CAB PRESS sel - BOTH								EmergencyCabinPressureRotary	1	1			
