Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Remove protective plugs from right PGA conn (2)									-1	1			
Remove suit hose interconnect from O2 hoses (CDR's)									-1	1			
Connect O2 umb (CDR's) to right PGA conn (2)									-1	1			
LH SUIT FLOW vlv - FULL FLOW			301					SuitCircuitFlow301Switch	0	1			
RH SUIT FLOW vlv - OFF			300					SuitCircuitFlow300Switch	2	1			
Disconnect LMP's O2 hose from left PGA conns									-1	1			
Connect protective plugs to left PGA conns									-1	1			
Install suit hose interconnect on O2 hoses (trnfr)									-1	1			
													
SUIT PWR - OFF								SuitPowerSwitch	0	1			
PWR - OFF								RightAudioPowerSwitch	1	1			
AUDIO CONT - NORM							Panel 6	AudioControlSwitch	1	1			
Remove trnfr CCU from PGA conn									-1	1			
Connect CDR's (left) CCU to PGA									-1	1			
Install suit hose interconnect on O2 hoses (trnfr)									-1	1			
RH SUIT FLOW vlv - OFF (verify)			300					SuitCircuitFlow300Switch	2	1			
Connect hose interconnect to trnfr umbs (verify)									-1	1			
													
Pass trnfr umbs to LM									-1	1			
RH SUIT FLOW vlv - FULL FLOW			300					SuitCircuitFlow300Switch	0	1			
PWR - AUDIO/TONE								RightAudioPowerSwitch	2	1			
SUIT PWR - ON								SuitPowerSwitch	1	1			
Open PAMFD - Press ECS - Add LMP			(MFD)						-1	0			
