Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks						
V37E 30E				P30 External DV				DSKY V 3 7 E 3 0 E	1	1									
  F 06 33 (TIG)									-1	1									
  Load desired TIG									-1	0									
PRO								DSKY P	1	1									
  F 06 81 DV XYZ (LV)									-1	1									
  Load desired DV's									-1	0									
PRO								DSKY P	1	1									
"  F 06 42 HA, HP, DV (REQ)"	60	HIDDEN_DELAY							-1	1									
PRO								DSKY P	1	1									
"  F 16 45 MARKS, TFI, MGA"									-1	1									
Set DET (Counting Up to TIG)									-1	0									
PRO								DSKY P	1	1									
  F 37 00E								DSKY 0 0 E	1	1									
EMS FUNC - DV SET/VHF RNG			1					EMSFunctionSwitch	2	1									
Set dVC (from Maneuver PAD)								EMSDvDisplay	-1	0									
EMS FUNC - DV								EMSFunctionSwitch	1	1									
																			
PRIM GLY TO RAD - BYP (pull)				Separation Ck List			Panel 325	GlycolToRadiatorsLever	0	1									
REPRESS PKG vlv - FILL (10 seconds)			326					OxygenRepressPackageRotary	0	1									
REPRESS PKG vlv - on			326					OxygenRepressPackageRotary	2	1									
SM SUPPLY vlv - off								OxygenSMSupplyRotary	0	1									
SRG TK O2 vlv - ON								OxygenSurgeTankRotary	1	1									
CAB PRESS RELF vlv (LH) - NORM			325					CabinPressureReliefLever1	1	1									
CAB PRESS RELF vlv (RH) - NORM								CabinPressureReliefLever2	1	1									
cb ELS BAT A - close								ELSBatACircuitBraker	1	1									
cb ELS BAT B - close								ELSBatBCircuitBraker	1	1									
																			
AUTO RCS B/D ROLL B1 - MNA							Panel 8	BdRollB1Switch	2	1									
AUTO RCS B/D ROLL D1 - MNB							Panel 8	BdRollD1Switch	0	1									
AUTO RCS B/D ROLL B2 - MNA							Panel 8	BdRollB2Switch	2	1									
AUTO RCS B/D ROLL D2 - MNB							Panel 8	BdRollD2Switch	0	1									
AUTO RCS PITCH A3 - MNB							Panel 8	PitchA3Switch	0	1									
AUTO RCS PITCH C3 - MNA							Panel 8	PitchC3Switch	2	1									
AUTO RCS PITCH A4 - MNA							Panel 8	PitchA4Switch	2	1									
AUTO RCS PITCH C4 - MNB							Panel 8	PitchC4Switch	0	1									
AUTO RCS YAW B3 - MNA							Panel 8	YawB3Switch	2	1									
AUTO RCS YAW D3 - MNB							Panel 8	YawD3Switch	0	1									
AUTO RCS YAW B4 - MNB							Panel 8	YawB4Switch	0	1									
AUTO RCS YAW D4 - MNA							Panel 8	YawD4Switch	2	1									
RHC PWR NORM 1 - AC/DC								RotPowerNormal1Switch	2	1									
RHC PWR NORM 2 - AC/DC								RotPowerNormal2Switch	2	1									
PRPLNT DUMP - RCS CMD			2				Panel 2	PropDumpAutoSwitch	0	1									
SM RCS PRPLNT A - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp1ASwitch	2	1									
SM RCS PRPLNT B - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp1BSwitch	2	1									
SM RCS PRPLNT C - OPEN							"Panel 2, SM RCS Switches"	SMRCSProp1CSwitch	2	1									
