Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
BAT CHG - OFF							Panel 3	BatteryChargeRotary	0	1			
cb BAT RLY BUS BAT A - close								BATRLYBusBatACircuitBraker	1	1			
cb BAT RLY BUS BAT B - close								BATRLYBusBatBCircuitBraker	1	1			
DC IND sel - MNA								DCIndicatorsRotary	3	1			
SYS TEST 1 - 4			101		Battery Vent			LeftSystemTestRotarySwitch	4	1			
SYS TEST 2 - A								RightSystemTestRotarySwitch	0	1			
If >1.5: BAT VENT vlv - VENT			252					WasteMGMTBatteryVentRotary	1	0			
Vent Manifold To 0									-1	0			
BAT VENT vlv - CLOSE			252					WasteMGMTBatteryVentRotary	0	1			
SYS TEST 2 - B								RightSystemTestRotarySwitch	1	1			
