Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
cb AC BUS B SE WIND HTR - close			11		Row 1			SE_WND_HTR_AC_CB	1	1			
cb AC BUS B He PQNS PROP DISP - close								HE_PQGS_PROP_DISP_AC_CB	1	1			
cb AC BUS B: S-BD ANT - close								SBD_ANT_AC_CB	1	1			
cb AC BUS B: ORDEAL - close								ORDEAL_AC_CB	1	1			
cb AC BUS B: AGS - close								AGS_AC_CB	1	1			
cb AC BUS B: AOT LAMP - open								AOT_LAMP_ACB_CB	0	1			
cb AC BUS B: SE FDAI - close								LMP_FDAI_AC_CB	1	1			
cb AC BUS B: NUM LTG - close								NUM_LTG_AC_CB	1	1			
cb AC BUS B: BUS TIE INV 2 - close								AC_B_INV_2_FEED_CB	1	1			
cb AC BUS B: BUS TIE INV 1 - close								AC_B_INV_1_FEED_CB	1	1			
cb AC BUS A: BUS TIE INV 2 - close								AC_A_INV_2_FEED_CB	1	1			
cb AC BUS A: BUS TIE INV 1 - close								AC_A_INV_1_FEED_CB	1	1			
cb AC BUS A: AC BUS VOLT - close								AC_A_BUS_VOLT_CB	1	1			
cb AC BUS A: CDR WIND HTR - close								CDR_WND_HTR_AC_CB	1	1			
cb AC BUS A: TAPE RCDR - close								TAPE_RCDR_AC_CB	1	1			
cb AC BUS A: AOT LAMP - open								AOT_LAMP_ACA_CB	0	1			
cb AC BUS A: RNDZ RDR - open								RDZ_RDR_AC_CB	0	1			
cb AC BUS A: DECA GMBL - close								DECA_GMBL_AC_CB	1	1			
cb AC BUS A: INTGL LTG - close								INTGL_LTG_AC_CB	1	1			
													
cb AC BUS A: RNG/RNG RT ALT/ALT RT - close					Row 2			RNG_RT_ALT_RT_AC_CB	1	1			
cb AC BUS A: GASTA - close								GASTA_AC_CB	1	1			
cb AC BUS A: CDR FDAI - close								CDR_FDAI_AC_CB	1	1			
cb RCS SYS A: MAIN SOV - close								RCS_A_MAIN_SOV_CB	1	1			
cb RCS SYS A: QUAD 4 TCA - open								RCS_A_QUAD4_TCA_CB	0	1			
cb RCS SYS A: QUAD 3 TCA - open								RCS_A_QUAD3_TCA_CB	0	1			
cb RCS SYS A: QUAD 2 TCA - open								RCS_A_QUAD2_TCA_CB	0	1			
cb RCS SYS A: QUAD 1 TCA - open								RCS_A_QUAD1_TCA_CB	0	1			
cb RCS SYS A: ISOL VLV - close								RCS_A_ISOL_VLV_CB	1	1			
cb RCS SYS A: ASC FEED 2 - close								RCS_A_ASC_FEED_2_CB	1	1			
cb RCS SYS A: ASC FEED 1 - close								RCS_A_ASC_FEED_1_CB	1	1			
cb FLIGHT DISPLAYS: THRUST - close								THRUST_DISP_CB	1	1			
cb FLIGHT DISPLAYS: MISSION TIMER - close								MISSION_TIMER_CB	1	1			
cb FLIGHT DISPLAYS: CDR X-PNTR - close								CDR_XPTR_CB	1	1			
cb FLIGHT DISPLAYS: RNG/RNG RT ALT/ALT RT - close								RNG_RT_ALT_RT_DC_CB	1	1			
cb FLIGHT DISPLAYS: GASTA - close								GASTA_DC_CB	1	1			
cb FLIGHT DISPLAYS: CDR FDAI - close								CDR_FDAI_DC_CB	1	1			
cb FLIGHT DISPLAYS: COAS - close								COAS_DC_CB	1	1			
