Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
CABIN DUMP (OVHD) - AUTO								UpperReliefValve	1	1			Not sure if this is right here but it's necessary to put the LM ECS to cabin mode
CABIN REPRESS - AUTO								CabinRepressValveSwitch	1	1			
PRESS REG A - CABIN								PressRegAValve	1	1			
PRESS REG B - CABIN								PressRegBValve	1	1			
SUIT GAS DIVERTER - PUSH/CABIN								SuitGasDiverterSwitch	1	1			
cb ECS: CABIN FAN CONT - close								ECS_CABIN_FAN_CONT_CB	1	1			
													
Glycol Pump Check									-1	1	Glycol Pump Check		
ARS/PGA Pressure Integrity Check									-1	1	ARS PGA Press Integrity Check		
Ascent Battery Activation & Checkout									-1	1	Ascent Battery Activation		
													
AOT Detent - F				RR Antenna Positioning					-1	0			Need EVA angles for RR
cb AC BUS A: RNDZ RDR - close (Wait 30 sec)								RDZ_RDR_AC_CB	1	1			
cb PGNS: RNDZ RDR - close	30	HIDDEN_DELAY						PGNS_RNDZ_RDR_CB	1	1			
 NO TRACK Lt - On									-1	1			
"Viewing Through AOT, Manually Slew RR Antenna To Optimum AOT Sighting Position (0 deg, 283 deg)"									-1	0			
cb PGNS: RNDZ RDR - open								PGNS_RNDZ_RDR_CB	0	1			
cb AC BUS A: RNDZ RDR - open								RDZ_RDR_AC_CB	0	1			
AOT Detent - CL									-1	0			Need EVA angles for RR
													
Install ISA Over Panels 1 & 2				EVA Prep					-1	1			
Prepare STD Hasselblad									-1	1			
Prepare SWA Hasselblad									-1	1			
Prepare 16mm Seq Camera									-1	1			
cb CAMR: SEQ - close								CAMR_SEQ_CB	1	1			
Prepare STD Hasselblad									-1	1			
CDR & LMP Switch positions									-1	1			
Attach PLSS To OPS									-1	1			
Prepare PLSS For Donning									-1	1			
Don PLSS/OPS									-1	1			
Connect RCU									-1	1			
Switch to CM									-1	0			
													
PLSS Comm Checks (To Be Added)	257100	MISSION_TIME							-1	1			
Switch to CM									-1	0			
													
DET - Set To Egress (73:07:00)	260100	MISSION_TIME		Final Prep					-1	1			
cb INST: CWEA - open								INST_CWEA_CB	0	1			
cb INST: CWEA - close	2	HIDDEN_DELAY						INST_CWEA_CB	1	1			
"MASTER ALARM pb/lt - on, push"								LeftMasterAlarmSwitch	1	1			
													
cb ECS: CABIN FAN 1 - open								ECS_CABIN_FAN_1_CB	0	1			
Anti-Fog Helmets									-1	1			
Don Helmets/Gloves & Visors									-1	1			
Attach Tether to LMP									-1	1			
													
SUIT GAS DIVERTER - PULL/EGRESS				Suit Loop Purge				SuitGasDiverterSwitch	0	1			
SUIT CIRCUIT RELIEF - CLOSE								SuitCircuitReliefValveSwitch	2	1			
CABIN GAS RETURN - OPEN								CabinGasReturnValveSwitch	0	1			
CO2 CANISTER Sel - Mid Position									-1	1			
PRESS REG A - CLOSE								PressRegAValve	3	1			
PRESS REG B - DIRECT O2								PressRegBValve	2	1			
  Purge Suit Loop For 2 Min	120	HIDDEN_DELAY							-1	1			
CABIN GAS RETURN - EGRESS								CabinGasReturnValveSwitch	2	1			
PRESS REG B - CLOSE								PressRegBValve	3	1			
CO2 CANISTER SEL - PRIM								CO2CanisterSelectSwitch	1	1			
													
PLSS FAN - ON				CDR Pressure Integrity Check					-1	1			
LMP Suit ISOL vlv - Suit Disc								LMPSuitIsolValve	1	1			
cb ECS: CABIN REPRESS - close								ECS_CABIN_REPRESS_CB	1	1			
CABIN REPRESS - AUTO								CabinRepressValveSwitch	1	1			
SUIT GAS DIVERTER - PULL/EGRESS								SuitGasDiverterSwitch	0	1			
CABIN GAS RETURN - EGRESS								CabinGasReturnValveSwitch	2	1			
SUIT CIRCUIT RELIEF - CLOSE								SuitCircuitReliefValveSwitch	2	1			
PRESS REG A - CLOSE								PressRegAValve	3	1			
													
PRESS REG B - DIRECT O2								PressRegBValve	2	1			
  Suit Press to 8.85 psia									-1	0			
PRESS REG B - CLOSE								PressRegBValve	3	1			
  Monitor Cuff Gauge Decay (< .3 psi in 1 minute)	60	HIDDEN_DELAY							-1	1			
													
SUIT CIRCUIT RELIEF - AUTO								SuitCircuitReliefValveSwitch	1	1			
  When Suit Press Decays To About 5.5 psi									-1	0			
SUIT CIRCUIT RELIEF - CLOSE								SuitCircuitReliefValveSwitch	2	1			
  Maintain Slight Positive Press In Suit									-1	1			
PRESS REG A - EGRESS								PressRegAValve	0	1			
PRESS REG B - EGRESS								PressRegBValve	0	1			
PLSS FAN - OFF									-1	1			
SUIT ISOL vlv (LMP) - SUIT FLOW								LMPSuitIsolValve	0	1			
													
Open PAMFD - Press ECS - Add LMP to PLSS			(MFD)	LMP Pressure Integrity Check					-1	0			
cb ECS: SUIT FLOW CONT - open								ECS_SUIT_FLOW_CONT_CB	0	1			
PLSS FAN - ON									-1	1			
LMP Suit ISOL vlv - Suit Disc								LMPSuitIsolValve	1	1			
PLSS O2 - ON (O2 Flag-O)									-1	1			
Press Flag-Clear (3.1-3.4 psid)									-1	1			
  Cuff Gauge Reads 3.7-4.0 PSIG									-1	1			
O2 Flag Clear									-1	1			
PLSS O2 - OFF									-1	1			
  Monitor Cuff Gauge Decay (< .3 psi in 1 minute)	60	HIDDEN_DELAY							-1	1			
PLSS O2 - ON									-1	1			
  Verify Cuff Gauge Reads 3.7-4.0 PSIG									-1	1			
  Possible O2 Flag									-1	1			
PLSS Diverter Vlv - Min (UP)									-1	1			
Switch to CM									-1	0			
													
Verify Tunnel Depressed	262140	MISSION_TIME		Cabin Depress					-1	1			
CABIN GAS RETURN - EGRESS								CabinGasReturnValveSwitch	2	1			
CABIN REPRESS - CLOSE								CabinRepressValveSwitch	2	1			
Log dT FWD DUMP VALVE - OPEN To Cabin Depress									-1	0			
Forward Dump Valve - OPEN								ForwardReliefValve	0	1			
  At 3.5 psia									-1	0			
Forward Dump Valve - AUTO								ForwardReliefValve	1	1			
SUIT CIRCUIT RELIEF - AUTO								SuitCircuitReliefValveSwitch	1	1			
  CABIN AT - 3.5 psia									-1	1			
  CDR SUIT PRESS - 3.6 to 4.3 psia and decaying									-1	1			
  LMP PGA PRESS - >4.8 psig and decaying									-1	1			
Forward Dump Valve - OPEN								ForwardReliefValve		1			
H2O Flag - A (1.2-1.7 PSIA)									-1	1			
  Monitor Cabin Press to 0 psia									-1	1			
