Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks	
Open LM Overhead Hatch	151500	MISSION_TIME		Entry Status Checks					-1	0				
EXTERIOR LTG - OFF								ExteriorLTGSwitch	1	1				
FLOOD - ALL								FloodSwitch	0	1				
Initial CB Positions									-1	1	Initial CB Positions Chart			
Initial Switch Positions									-1	1	Initial Switch Positions			
EPS Activation									-1	1	EPS Activation			
Mission Timer Activation									-1	1	Mission Timer Activation			
S-BD Activation									-1	1	S-BD Activation			
Glycol Pump Activation									-1	1	Glycol Pump Activation			
Caution Warning Checkout									-1	1	Caution Warning Checkout			
PRIM EVAP FLOW 1 - OPEN								PrimEvap1FlowValve	0	1				
Verify HI Voltage Taps									-1	1	Select HI Voltage Taps			
Verify CB Status per DOCKED DPS ACTIVATION Chart									-1	1	CB Docked DPS Activation Chart			
cb FLIGHT DISPLAYS: RNG/RNG RT ALT/ALT RT - close								RNG_RT_ALT_RT_DC_CB	1	1				
RCS A/B-2 QUAD 1 - AUTO								RCSSysQuad1Switch	2	1				
RCS A/B-2 QUAD 2 - AUTO								RCSSysQuad2Switch	2	1				
RCS A/B-2 QUAD 3 - AUTO								RCSSysQuad3Switch	2	1				
RCS A/B-2 QUAD 4 - AUTO								RCSSysQuad4Switch	2	1				
ECS Activation									-1	1	ECS Activation			
Suit Fan H2O Separator Check									-1	1	Suit Fan H2O Separator Check			
VHF Simplex Voice Test									-1	1	VHF Simplex Voice Test			
Switch to CM									-1	0				
														
LMP To LM ECS									-1	1	LMP To LM ECS			
CDR To LM ECS									-1	1	CDR To LM ECS			
Install Tunnel Hardware									-1	0				
OPS Checkout									-1	0				
Close LM Overhead Hatch									-1	0				
CABIN DUMP (OVHD) - AUTO								UpperReliefValve	1	1				
PRESS REG A - CABIN								PressRegAValve	1	1				
PRESS REG B - CABIN								PressRegBValve	1	1				
SUIT GAS DIVERTER - PUSH/CABIN								SuitGasDiverterSwitch	1	1				
Install Window Shades									-1	0				
Glycol Pump Check	156600	MISSION_TIME							-1	1	Glycol Pump Check			
Switch to CM									-1	0				
														
ARS/PGA Pressure Integrity Check									-1	1	ARS PGA Press Integrity Check			
Regulator Check									-1	1	Regulator Check			
Ascent Battery Activation & Checkout									-1	1	Ascent Battery Activation			
														
Unstow RR									-1	0				
RATE/ERR MON (CDR) - RNDZ RDR								RateErrorMonSwitch	1	1				
cb AC BUS A: RNDZ RDR - close (Wait 30 sec)								RDZ_RDR_AC_CB	1	1				
cb PGNS: RNDZ RDR - close	30	HIDDEN_DELAY						PGNS_RNDZ_RDR_CB	1	1				
RNDZ RDR - SLEW								RendezvousRadarRotary	1	1				
 Slew Left 18 Sec to Mode I									-1	0				
 Slew Down 50 deg									-1	0				
cb PGNS: RNDZ RDR - open								PGNS_RNDZ_RDR_CB	0	1				
cb AC BUS A: RNDZ RDR - open								RDZ_RDR_AC_CB	0	1				
														
cb AC BUS B: AOT LAMP - close	158100	MISSION_TIME		Daytime AOT Star Visibility Test				AOT_LAMP_ACB_CB	1	1				
AOT Detent F									-1	0				
Place Star 15 (Siruis) in center of AOT									-1	0				
Identify dimmest star in visible pattern around star									-1	1				
AOT Detent CL									-1	0				
cb AC BUS B: AOT LAMP - open								AOT_LAMP_ACB_CB	0	1				
cb AC BUS A: RNDZ RDR - close (Wait 30 sec)								RDZ_RDR_AC_CB	1	1				
cb PGNS: RNDZ RDR - close	30	HIDDEN_DELAY						PGNS_RNDZ_RDR_CB	1	1				
" Slew to 0,0"									-1	0				
cb PGNS: RNDZ RDR - open								PGNS_RNDZ_RDR_CB	0	1				
cb AC BUS A: RNDZ RDR - open								RDZ_RDR_AC_CB	0	1				
RATE/ERR MON (CDR) - LDR RDR/CMPTR								RateErrorMonSwitch	0	1				
														
S-Band Steerable Antenna Check	158700	MISSION_TIME							-1	1	S-BD Steerable Ant Check			
S-Band Backup Voice & Keying Check									-1	1				
Exterior Lighting Checks and COAS Lighting									-1	1				
														
S-BAND: XMTR/RCVR - SEC	161400	MISSION_TIME		Secondary S-Band Check				SBandXCvrSelSwitch	0	1				
