Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
RR GYRO SEL - PRIM			AOT	Initial Switch Activation				RRGyroSelSwitch	2	1			
(Display ORDEAL panel)			13					PanelOrdeal	1	1			
FDAI 1 (or 2) sw - INRTL								ORDEALFDAI1Switch	0	1			
FDAI 1 (or 2) sw - INRTL								ORDEALFDAI2Switch	0	1			
EARTH/LUNAR - OFF								ORDEALEarthSwitch	1	1			
MODE - HOLD/FAST								ORDEALModeSwitch	0	1			
ALT SET - 130								ORDEALAltSetRotary	1	1			
(Hide ORDEAL panel)								PanelOrdeal	0	1			
													
FUEL & OXID VENT tb-bp									-1	1			
MASTER ARM - OFF								EDMasterArm	0	1			
ASC He SEL - BOTH								EDASCHeSel	1	1			
LDG GEAR DEPLOY tb-bp									-1	1			
STAGE - SAFE (Guarded)								EDStage	0G	1			
													
S-BAND T/R (CDR) - OFF								CDRAudSBandSwitch	1	1			
ICS T/R (CDR) - OFF								CDRAudICSSwitch	1	1			
RELAY (CDR) - OFF								CDRAudRelaySwitch	0	1			
MODE (CDR) - ICS/PTT								CDRAudVOXSwitch	1	1			
AUDIO CONT (CDR) - NORM								CDRAudioControlSwitch	1	1			
VHF A (CDR) - OFF								CDRAudVHFASwitch	1	1			
VHF B (CDR) - OFF								CDRAudVHFBSwitch	1	1			
COAS - OFF								CDRCOASSwitch	1	1			
													
TTCA (CDR) - JETS									-1	1			
													
MISSION TIMER: TIMER CONT - STOP			5					TimerContSwitch	1	1			
LTG OVERRIDE ANUN - OFF								LtgORideAnunSwitch	0	1			
LTG OVERRIDE NUM - OFF								LtgORideNumSwitch	0	1			
LTG OVERRIDE INTEGRAL - OFF								LtgORideIntegralSwitch	0	1			
SIDE PANELS - OFF								LtgSidePanelsSwitch	0	1			
FLOOD OVHD/FWD - BRIGHT								LtgFloodOhdFwdKnob	8	1			
ANUN/NUM - DIM								LtgAnunNumKnob	0	1			
INTEGRAL - DIM								LtgIntegralKnob	0	1			
													
X-POINTER SCALE (CDR) - HI MULT			1					LeftXPointerSwitch	1	1			
RATE/ERR MON (CDR) - LDR RDR/CMPTR								RateErrorMonSwitch	0	1			
ATTITUDE MON (CDR) - PGNS								AttitudeMonSwitch	1	1			
GUID CONT - PGNS								GuidContSwitch	1	1			
MODE SEL - LDG RADAR								ModeSelSwitch	2	1			
RNG/ALT MON - ALT/ALT RT								AltRngMonSwitch	0	1			
SHFT/TRUN - ±50 deg								ShiftTruSwitch	1	1			
RATE SCALE - 25 deg/SEC								RateScaleSwitch	1	1			
ACA PROP (CDR) - ENABLE								ACAPropSwitch	1	1			
THR CONT - AUTO								THRContSwitch	1	1			
MAN THROT - CDR								MANThrotSwitch	1	1			
ENG ARM - OFF								EngineArmSwitch	1	1			
ATT/TRANSL - 2 JETS								ATTTranslSwitch	0	1			
BAL CPL - ON								BALCPLSwitch	1	1			
ASC He REG 1&2 - tb-gray									-1	1			
DESCENT He REG 1 tb-gray									-1	1			
DESCENT He REG 2 tb-bp									-1	1			
PRPLNT QTY MON - OFF								QTYMonSwitch	0	1			
PRPLNT TEMP/PRESS MON - ASC								TempPressMonSwitch	2	1			
HELIUM MON - OFF								HeliumMonRotary	0	1			
ABORT pb - RESET								AbortSwitch	1	1			
ABORT STAGE pb - RESET								AbortStageSwitch	1G	1			
													
SYS A&B ASC FUEL & ASC OXID (4) - tb-bp									-1	1			
"SYS A&B QUAD 1,4,2,3 (8) - tb-gray"									-1	1			
CRSFD tb-bp									-1	1			
SYS A&B MAIN SOV - tb-gray									-1	1			
ASC He REG 1&2 tb-gray									-1	1			
DESCENT He REG 1 tb-gray									-1	1			
DESCENT He REG 2 tb-bp									-1	1			
TEMP/PRESS MON - He								TempPressMonRotary	0	1			
ACA PROP (LMP) - ENABLE								RightACAPropSwitch	1	1			
RATE/ERR MON (LMP) - LDR RDR/CMPTR								RightRateErrorMonSwitch	0	1			
