Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
V25 N36E				LGC/CMC Clock Sync/TEPHEM Update				DSKY V 2 5 N 3 6 E	1	1			
Switch to CM									-1	0			
													
Load CSM Time									-1	0			
V06 N65E								DSKY V 0 6 N 6 5 E	1	1			
Open PAMFD - Press LGC - ENT			(MFD)						-1	0			
Switch to CM									-1	0			
													
Compare with CSM N65									-1	1			
V55E								DSKY V 5 5 E	1	1			
Load dT									-1	0			
Check Mission Timer									-1	1			
Switch to CM									-1	0			
													
V25 N01E								DSKY V 2 5 N 0 1 E	1	1			
1706E								DSKY 1 7 0 6 E	1	1			
Load TEPHEM									-1	0			
V05 N01E								DSKY V 0 5 N 0 1 E	1	1			
1706E								DSKY 1 7 0 6 E	1	1			
Verify TEPHEM									-1	0			
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
