Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
BAL CPL - ON								BALCPLSwitch	1	1			
ATT/TRANSL - 2 JETS								ATTTranslSwitch	0	1			
MODE CONT PGNS - ATT HOLD								ModeControlPGNSSwitch	1	1			
MODE CONT AGS - ATT HOLD								ModeControlAGSSwitch	1	1			
ATTITUDE CONTROL ROLL - MODE CONT								RollSwitch	2	1			
ATTITUDE CONTROL PITCH - MODE CONT								PitchSwitch	2	1			
ATTITUDE CONTROL YAW - MODE CONT								YawSwitch	2	1			
DEAD BAND - MIN								DeadBandSwitch	0	1			
COAS - FWD								CDRCOASSwitch	0	1			
EXTERIOR LTG - DOCK (verify)								ExteriorLTGSwitch	2	1			
COAS - OVHD								CDRCOASSwitch	2	1			
													
Pitch down 90 deg 				Maneuver to Docking Attitude					-1	0			
Yaw left 120 deg 									-1	0			
Align with CSM docking target									-1	0			
V37E 47E								DSKY V 3 7 E 4 7 E	1	1			
  F 16 83 dV XYZ	60	HIDDEN_DELAY							-1	1			
Translate +X 0.25-0.5fps									-1	0			
"At contact, apply +X thrust"									-1	0			
MODE CONT PGNS - OFF								ModeControlPGNSSwitch	0	1			
MODE CONT AGS - OFF								ModeControlAGSSwitch	0	1			
FLOOD - OVHD/FWD								FloodSwitch	2	1			
PRO								DSKY P	1	1			
  F 37									-1	1			
00E								DSKY 0 0 E	1	1			
COAS - OFF								CDRCOASSwitch	1	1			
EXTERIOR LTG - OFF								ExteriorLTGSwitch	1	1			
