Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
41E								DSKY 4 1 E	1	1			
  F 50 18 Request MNVR to FDAI RPY Angles	10	HIDDEN_DELAY							-1	1			
GUID CONT - PGNS								GuidContSwitch	1	1			
MODE CONT PGNS - ATT HOLD								ModeControlPGNSSwitch	1	1			
MODE CONT AGS - ATT HOLD								ModeControlAGSSwitch	1	1			
ENTR								DSKY E	1	1			
  F 50 19 Trim MNVR to FDAI RPY Angles	10	HIDDEN_DELAY							-1	1			
PRO	5	HIDDEN_DELAY						DSKY P	1	1			
  16 85 VG XYZ (LM)	2	HIDDEN_DELAY							-1	1			
V77E								DSKY V 7 7 E	1	1			
T-0:35									-1	0			
DSKY Blanks									-1	1			
T-0:30									-1	0			
  16 85 (AVE G ON)	5	HIDDEN_DELAY							-1	1			
T-0:00									-1	0			
  F 16 85 VG XYZ (LM)	5	HIDDEN_DELAY							-1	1			
Null dVs with TTCA									-1	0			
V76E								DSKY V 7 6 E	1	1			
PRO	2	HIDDEN_DELAY						DSKY P	1	1			
  F 37	5	HIDDEN_DELAY							-1	1			
													
													
