Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks	
TTCA (CDR) - JETS									-1	1				
Set Event Timer to TFI									-1	0				
V48E					Start DAP		Start DAP data load	DSKY V 4 8 E	1	1				
V21E								DSKY V 2 1 E	1	1				
Load DAP Configuration					Load DAP Configuration				-1	0				
PRO								DSKY P	1	1				
  F 06 47					Load LM & CSM Weight				-1	0				
V24E								DSKY V 2 4 E	1	1				
Load LM Weight									-1	0				
ENTER								DSKY E	1	1				
Load CSM Weight									-1	0				
ENTER								DSKY E	1	1				
PRO	2	HIDDEN_DELAY						DSKY P	1	1				
V34E					Terminate			DSKY V 3 4 E	1	1				
V37E 00E								DSKY V 3 7 E 0 0 E	1	1				
Maneuver to PAD Burn Attitude									-1	0				
V37E 41E								DSKY V 3 7 E 4 1 E	1	1				
  F 50 18 Request MNVR to FDAI RPY Angles	10	HIDDEN_DELAY							-1	1				
GUID CONT - PGNS								GuidContSwitch	1	1				
MODE CONT PGNS - AUTO								ModeControlPGNSSwitch	2	1				
MODE CONT AGS - AUTO								ModeControlAGSSwitch	2	1				
PRO	2	HIDDEN_DELAY						DSKY P	1	1				
  F 06 18 Auto MNVR to FDAI RPY Angles									-1	1				
  F 50 18 Request MNVR to FDAI RPY Angles									-1	0				
  16 85 VG XYZ (LM)	2	HIDDEN_DELAY							-1	1				
MODE CONT PGNS - ATT HOLD								ModeControlPGNSSwitch	1	1				
MODE CONT AGS - ATT HOLD								ModeControlAGSSwitch	1	1				
T-0:35									-1	0				
DSKY Blanks									-1	1				
T-0:30									-1	0				
  16 85 (AVE G ON)	5	HIDDEN_DELAY							-1	1				
T-0:00									-1	0				
  F 16 85 VG XYZ (LM)	5	HIDDEN_DELAY							-1	1				
  Null Residuals									-1	0				
PRO	2	HIDDEN_DELAY						DSKY P	1	1				
  F 37	5	HIDDEN_DELAY							-1	1				
00E								DSKY 0 0 E	1	1				
