Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Wait for Undocking				Undocking					-1	0			
													
GUID CONT - AGS								GuidContSwitch	0	1			
  Deflect ACA Out of Detent									-1	0			
ATTITUDE CONTROL ROLL - MODE CONT								RollSwitch	2	1			
ATTITUDE CONTROL PITCH - MODE CONT								PitchSwitch	2	1			
ATTITUDE CONTROL YAW - MODE CONT								YawSwitch	2	1			
  Yaw Right 120 degrees (Rate CMD)									-1	0			
  Pitch Up 180 degrees (2 deg/sec)									-1	0			
  Pitch Down 90 degrees (CSM in FWD Window)									-1	0			
													
ATTITUDE CONTROL YAW - PULSE								YawSwitch	1	1			
  Yaw 360 degrees for inspection (1 deg/sec)									-1	0			
													
GUID CONT - PGNS								GuidContSwitch	1	1			
ATTITUDE CONTROL YAW - MODE CONT								YawSwitch	2	1			
  When Yaw = 0 degrees									-1	0			
V77E								DSKY V 7 7 E	1	1			
GUID CONT - AGS								GuidContSwitch	0	1			
  Begin LM Active Station Keeping with CSM (50ft) Until After CSM RCS SEP									-1	0			
Switch to CM									-1	0			
													
After CSM RCS SEP									-1	0			
GUID CONT - PGNS								GuidContSwitch	1	1			
													
ORDEAL Initialization									-1	1	ORDEAL Initialization		
													
V84E					Target dV			DSKY V 8 4 E	1	1			
  F 06 84 Target dV XYZ (LV)									-1	1			
  Load CSM SEP dV									-1	0			
V25E								DSKY V 2 5 E	1	1			
+00000E								DSKY + 0 0 0 0 0 E	1	1			
+00000E								DSKY + 0 0 0 0 0 E	1	1			
+00050E								DSKY + 0 0 0 5 0 E	1	1			
PRO								DSKY P	1	1			
  F 06 33 (TIG)									-1	1			
  Load CSM SEP TIG									-1	0			
PRO								DSKY P	1	1			
(COMP ACTY)	10	HIDDEN_DELAY							-1	1			
V80E					Update LM SV			DSKY V 8 0 E	1	1			
V76E					PGNS Pulse			DSKY V 7 6 E	1	1			
													
Boresight on CSM with COAS									-1	0			
													
Perform AGS Update									-1	1	AGS Update		
400+3	32	HIDDEN_DELAY	DEDA		AGS/PGNS Align			DEDA C 4 0 0 + 3 0 0 0 0 E	1	1			
400R (00000)			DEDA					DEDA C 4 0 0 R	1	1			
V63E								DSKY V 6 3 E 	1	1			
													
RR Checkout				RR Checkout					-1	1	RR Checkout		
													
Perform Phasing				Phasing					-1	1	Phasing		
													
Phasing +4m									-1	0			
RNDZ RDR - LGC								RendezvousRadarRotary	2	1			
V95E								DSKY V 9 5 E 	1	1			
V37E 20E								DSKY V 3 7 E 2 0 E	1	1			
  F 50 18 Request MNVR to FDAI RPY Angles									-1	0			
ENTR (Manual Maneuver)	2	HIDDEN_DELAY						DSKY E	1	1			
Maneuver to tracking attitude									-1	1			
  F 50 19 Bypass Trim to FDAI RPY Angles									-1	0			
PRO	5	HIDDEN_DELAY						DSKY P	1	1			
V80E								DSKY V 8 0 E 	1	1			
													
V37E 34E				TPI0				DSKY V 3 7 E 3 4 E	1	1			
  F 06 37 TIG of TPI0									-1	0			
V25E								DSKY V 2 5 E 	1	1			
  Load TIG of TPI0									-1	0			
PRO								DSKY P	1	1			
"  F 06 55 B, ELEV ANGLE, CENT ANGLE"									-1	0			
  Load ELEV ANGLE (0 For Time Option Search)									-1	0			
V22E								DSKY V 2 2 E 	1	1			
+02750								DSKY + 0 2 7 5 0 E 	1	1			
  Load CENT ANGLE									-1	0			
V23E								DSKY V 2 3 E 	1	1			
+13000								DSKY + 1 3 0 0 0 E 	1	1			
PRO								DSKY P	1	1			
"  F 16 45 MARKS, TFI, -00001"									-1	0			
Wait for 5 marks									-1	0			
"As time permits, update CSM with P76"									-1	0			
V32E (Recycle P34)								DSKY V 3 2 E 	1	1			
  F 06 37 TIG of TPI0									-1	0			
PRO								DSKY P	1	1			
"  F 06 58 HP, dV(TPI), dV(TPF)"									-1	0			
PRO								DSKY P	1	1			
Marks Resume									-1	1			
  F 06 59 dV LOS									-1	0			
PRO								DSKY P	1	1			
"  F 16 45 MARKS, TFI, -00001"									-1	0			
  Set ET Counting Down to TPI									-1	0			
													
410+3			DEDA		TPI Search			DEDA C 4 1 0 + 3 0 0 0 0 E	1	1			
307+								DEDA C 3 0 7 + 	1	1			311+
03250								DEDA 0 3 2 5 0 E	1	1			
310+								DEDA C 3 1 0 +	1	1			313+
05000								DEDA 0 5 0 0 0 E	1	1			
When TFI = 50.00									-1	0			
410+4								DEDA C 4 1 0 + 4 0 0 0 0 E	1	1			
303R								DEDA C 3 0 3 R	1	1			
 Theta At TPI									-1	1			
267R								DEDA C 2 6 7 R	1	1			
 dV TPI									-1	1			
371R								DEDA C 3 7 1 R	1	1			
 dV Total									-1	1			
													
Wait for 12 marks									-1	0			
"As time permits, make sextant marks on LM in CSM"									-1	0			
PRO								DSKY P	1	1			
  F 06 37 TIG of TPI									-1	0			
  Copy & Transmit to CSM for P34 Loading									-1	0			
PRO								DSKY P	1	1			
