Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
cb AC BUS B SE WIND HTR - open			11	Staged Final Deactivation Panel 11	Row 1			SE_WND_HTR_AC_CB	0	1			
cb AC BUS B He PQNS PROP DISP - open								HE_PQGS_PROP_DISP_AC_CB	0	1			
cb AC BUS B: S-BD ANT - open								SBD_ANT_AC_CB	0	1			
cb AC BUS B: ORDEAL - open								ORDEAL_AC_CB	0	1			
cb AC BUS B: AGS - open								AGS_AC_CB	0	1			
cb AC BUS B: AOT LAMP - open								AOT_LAMP_ACB_CB	0	1			
cb AC BUS B: SE FDAI - open								LMP_FDAI_AC_CB	0	1			
cb AC BUS B: NUM LTG - open								NUM_LTG_AC_CB	0	1			
cb AC BUS B: BUS TIE INV 2 - open								AC_B_INV_2_FEED_CB	0	1			
cb AC BUS B: BUS TIE INV 1 - open								AC_B_INV_1_FEED_CB	0	1			
cb AC BUS A: BUS TIE INV 2 - open								AC_A_INV_2_FEED_CB	0	1			
cb AC BUS A: BUS TIE INV 1 - open								AC_A_INV_1_FEED_CB	0	1			
cb AC BUS A: AC BUS VOLT - open								AC_A_BUS_VOLT_CB	0	1			
cb AC BUS A: CDR WIND HTR - open								CDR_WND_HTR_AC_CB	0	1			
cb AC BUS A: TAPE RCDR - open								TAPE_RCDR_AC_CB	0	1			
cb AC BUS A: AOT LAMP - open								AOT_LAMP_ACA_CB	0	1			
cb AC BUS A: RNDZ RDR - open								RDZ_RDR_AC_CB	0	1			
cb AC BUS A: DECA GMBL - open								DECA_GMBL_AC_CB	0	1			
cb AC BUS A: INTGL LTG - open								INTGL_LTG_AC_CB	0	1			
													
cb RCS SYS A: MAIN SOV - open					Row 2			RCS_A_MAIN_SOV_CB	0	1			
cb RCS SYS A: QUAD 4 TCA - open								RCS_A_QUAD4_TCA_CB	0	1			
cb RCS SYS A: QUAD 3 TCA - open								RCS_A_QUAD3_TCA_CB	0	1			
cb RCS SYS A: QUAD 2 TCA - open								RCS_A_QUAD2_TCA_CB	0	1			
cb RCS SYS A: QUAD 1 TCA - open								RCS_A_QUAD1_TCA_CB	0	1			
cb RCS SYS A: ISOL VLV - open								RCS_A_ISOL_VLV_CB	0	1			
cb RCS SYS A: ASC FEED 2 - open								RCS_A_ASC_FEED_2_CB	0	1			
cb RCS SYS A: ASC FEED 1 - open								RCS_A_ASC_FEED_1_CB	0	1			
cb FLIGHT DISPLAYS: THRUST - open								THRUST_DISP_CB	0	1			
cb FLIGHT DISPLAYS: MISSION TIMER - open								MISSION_TIMER_CB	0	1			
cb FLIGHT DISPLAYS: CDR X-PNTR - open								CDR_XPTR_CB	0	1			
cb FLIGHT DISPLAYS: RNG/RNG RT ALT/ALT RT - open								RNG_RT_ALT_RT_DC_CB	0	1			
cb FLIGHT DISPLAYS: GASTA - open								GASTA_DC_CB	0	1			
