Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks	
V37E 32E								DSKY V 3 7 E 3 2 E	1	1				
  F 06 30 TIG of CSI									-1	0				
V25E								DSKY V 2 5 E 	1	1				
  Load TIG of CSI									-1	0				
PRO								DSKY P	1	1				
"  F 06 55 APSIS CDH, TPI ELEVATION ANGLE"									-1	0				
V24E								DSKY V 2 4 E 	1	1				
"  Load APSIS CDH, TPI ELEVATION ANGLE"									-1	0				
+00001								DSKY + 0 0 0 0 1 E 	1	1				
+02750								DSKY + 0 2 7 5 0 E 	1	1				
PRO								DSKY P	1	1				
  F 06 37 TIG of TPI									-1	0				
V25E								DSKY V 2 5 E 	1	1				
  Load TIG of TPI (With +3 Min Time Bias)									-1	0				
PRO								DSKY P	1	1				
"  F 16 45 MARKS, TFI, -00001"									-1	0				
  Set ET Counting Down									-1	0				
V76E								DSKY V 7 6 E	1	1				
MODE CONT PGNS - ATT HOLD								ModeControlPGNSSwitch	1	1				
MODE CONT AGS - ATT HOLD								ModeControlAGSSwitch	1	1				
Wait for 4 marks									-1	0				
V93E (Reinitialize W-Matrix)								DSKY V 9 3 E 	1	1				
V32E (Recycle P32)								DSKY V 3 2 E 	1	1				
														
Note: Manual Iteration for finding the proper apsidal xing may be reqd									-1	0				
" Proceed if F 06 50, Fail if F 05 09 006XX to manually iterate up"									-1	0		CSI Manual Iteration Up		
"   F 06 50 dH, dT CSI/CDH, dT CDH/TPI "									-1	0				
 Fail if R1 (dH) is negative or if R2 or R3 = 59 59 to manually iterate down									-1	0		CSI Manual Iteration Down		
"   F 06 50 dH, dT CSI/CDH, dT CDH/TPI "									-1	0				
PRO								DSKY P	1	1				
  F 06 81 dV XYZ (LV-CSI)									-1	0				
PRO								DSKY P	1	1				
  F 06 82 dV XYZ (LV-CDH)									-1	0				
PRO								DSKY P	1	1				
"  F 16 45 MARKS, TFI, -00001"									-1	0				
Reset Event Timer Counting Down									-1	0				
Wait for 4 marks									-1	0				
V32E (Recycle P32)								DSKY V 3 2 E 	1	1				
														
Note: Manual Iteration for finding the proper apsidal xing may be reqd									-1	0				
" Proceed if F 06 50, Fail if F 05 09 006XX to manually iterate up"									-1	0		CSI Manual Iteration Up		
"   F 06 50 dH, dT CSI/CDH, dT CDH/TPI "									-1	0				
" Fail if R1 (dH) is negative or if R2 or R3 = 59 59 to manually iterate down, otherwise Proceed"									-1	0		CSI Manual Iteration Down		
"   F 06 50 dH, dT CSI/CDH, dT CDH/TPI "									-1	0				
PRO								DSKY P	1	1				
  F 06 81 dV XYZ (LV-CSI)									-1	0				
PRO								DSKY P	1	1				
  F 06 82 dV XYZ (LV-CDH)									-1	0				
PRO								DSKY P	1	1				
"  F 16 45 MARKS, TFI, -00001"									-1	0				
Reset Event Timer Counting Down									-1	0				
														
Proceed When Range > 50.8NM									-1	0				
V37E 00E								DSKY V 3 7 E 0 0 E	1	1				
														
V62E					Initiate Radar Self Test			DSKY V 6 2 E 	1	1				
 F 04 06									-1	1				
 R1 00004 Specify Radar									-1	1				
 R1 00001 (Rndz Radar)									-1	1				
PRO								DSKY P	1	1				
" F 16 72 TRUN, SHAFT (.01 deg)"									-1	1				
 R1 Varying At 1/2 cps									-1	1				
 R2 Varying At 1/2 cps									-1	1				
PRO								DSKY P	1	1				
" F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec)"									-1	1				
 Verify Tapemeter with DSKY	10	HIDDEN_DELAY							-1	0				
V37E 00E								DSKY V 3 7 E 0 0 E	1	1				
														
V37E 20E								DSKY V 3 7 E 2 0 E	1	1				
MODE CONT PGNS - AUTO								ModeControlPGNSSwitch	2	1				
MODE CONT AGS - AUTO								ModeControlAGSSwitch	2	1				
  F 50 18 Request MNVR to FDAI RPY Angles									-1	0				
PRO	2	HIDDEN_DELAY						DSKY P	1	1				
  F 06 18 Auto MNVR to FDAI RPY Angles	2	HIDDEN_DELAY							-1	1				
  F 50 19 Trim MNVR to FDAI RPY Angles									-1	0				
PRO	5	HIDDEN_DELAY						DSKY P	1	1				
