Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
cb EPS: BAT FEED TIE 1 (CDR) - close			11					CDRBatteryFeedTieCB1	1	1			
cb EPS: BAT FEED TIE 2 (CDR) - close								CDRBatteryFeedTieCB2	1	1			
cb EPS: CROSS TIE BAL LOADS (CDR) - close								CDRCrossTieBalCB	1	1			
cb EPS: CROSS TIE BUS (CDR) - close								CDRCrossTieBusCB	1	1			
cb EPS: X-LUNAR BUS TIE (CDR) - close								CDRXLunarBusTieCB	1	1			
cb EPS: DES ECA CONT (CDR) - close								CDRDesECAContCB	1	1			
cb EPS: DES ECA (CDR) - close								CDRDesECAMainCB	1	1			
cb EPS: ASC ECA CONT (CDR) - open								CDRAscECAContCB	0	1			
cb EPS: ASC ECA (CDR) - close								CDRAscECAMainCB	1	1			
cb EPS: INV 1 - open								CDRInverter1CB	0	1			
cb EPS: DC BUS VOLTS - close								CDRDCBusVoltCB	1	1			
													
cb EPS: DISP - close			16					EPS_DISP_CB	1	1			
cb EPS: DC BUS VOLT (LMP) - close								LMPDCBusVoltCB	1	1			
cb EPS: INV 2 - close								LMPInverter2CB	1	1			
cb EPS: ASC ECA (LMP) - close								LMPAscECAMainCB	1	1			
cb EPS: ASC ECA CONT (LMP) - open								LMPAscECAContCB	0	1			
cb EPS: DES ECA (LMP) - close								LMPDesECAMainCB	1	1			
cb EPS: DES ECA CONT (LMP) - close								LMPDesECAContCB	1	1			
cb EPS: X-LUNAR BUS TIE (LMP) - close								LMPXLunarBusTieCB	1	1			
cb EPS: CROSS TIE BUS (LMP) - open								LMPCrossTieBusCB	0	1			
cb EPS: CROSS TIE BAL LOADS (LMP) - open								LMPCrossTieBalCB	0	1			
cb EPS: BAT FEED TIE 1 (LMP) - close								LMPBatteryFeedTieCB1	1	1			
cb EPS: BAT FEED TIE 2 (LMP) - close								LMPBatteryFeedTieCB2	1	1			
